geoname,level_1,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Alabama,ADF Statistic,-2.953658591,-2.408819272,-3.251891107,-3.027130207,-1.466559379,-3.15391201,0.629953052,-0.537034279,1.028978185,-2.905783134,0.447310327,1.887458578,-1.197010342
Alabama,P-value,0.145501169,0.374940839,0.074548739,0.124653274,0.84030359,0.093982549,0.997009267,0.98190858,1,0.1603525,0.996741273,1,0.911113654
Alaska,ADF Statistic,-2.042794484,-3.151511705,-3.230959705,-2.573427174,-3.98486304,-3.065344903,-2.838664402,-0.841273751,-0.958086022,-2.681068363,-2.270191379,-2.393380283,-2.756501308
Alaska,P-value,0.577942867,0.094503636,0.078407236,0.292273656,0.009239064,0.114717938,0.183106068,0.962025015,0.949498509,0.244026952,0.450502731,0.383144082,0.213379101
Arizona,ADF Statistic,-3.768050273,-1.365433486,1.221520026,-0.400694233,-2.425495978,-3.281068801,-0.55119361,0.940516644,1.787064918,-3.153220789,0.765837059,-3.946493796,-1.321758686
Arizona,P-value,0.018249256,0.870776592,1,0.986858136,0.366154505,0.069423837,0.981285182,1,1,0.09413238,1,0.010460289,0.88244192
Arkansas,ADF Statistic,-3.538123981,-3.945383983,-1.238442321,-1.957039108,-2.057484031,-2.961920567,2.594104444,-0.90139623,1.038405863,-4.11601742,-1.287354538,-3.883280798,-1.617702884
Arkansas,P-value,0.035485026,0.010497673,0.902324854,0.624626888,0.5698066,0.143040175,1,0.95600597,1,0.005974056,0.891020823,0.012790304,0.785423461
California,ADF Statistic,-2.431527232,-2.881716503,-1.713026743,-0.654942326,2.111712631,-2.108000927,-1.966283142,4.050653331,1.393446083,-4.033334151,1.086874597,-2.498832669,-1.513609767
California,P-value,0.362996792,0.168549499,0.74511242,0.975946731,1,0.541613537,0.619673739,1,1,0.007880479,1,0.328546165,0.824427838
Colorado,ADF Statistic,-3.858526885,-2.528423054,-3.642719423,0.912524171,-0.35988509,-1.762661309,0.474022717,-0.574697976,1.331095652,-1.867237048,-0.932835179,-2.936509132,-2.12143292
Colorado,P-value,0.013822042,0.313900507,0.026417405,1,0.988023019,0.722478045,0.996800925,0.980198125,1,0.671471704,0.952502637,0.150704953,0.534075671
Connecticut,ADF Statistic,-1.868537101,-3.554137485,-1.615311487,-1.087402104,-0.082064109,-2.949021501,-1.801924972,-1.441664449,-1.780970223,-2.66781148,1.486539121,-5.23587318,-1.527685507
Connecticut,P-value,0.670811844,0.033945162,0.78637915,0.931145778,0.993300443,0.146895504,0.70382938,0.848263696,0.713861107,0.249689043,1,7.49E-05,0.819465994
Delaware,ADF Statistic,-4.573169748,-0.812835508,-4.650444767,0.326484338,-3.269232813,-3.485851195,-1.014871941,-0.192219904,-1.070903358,-1.83295512,-1.099791887,-2.210886018,-1.845226798
Delaware,P-value,0.00114311,0.964584082,0.00084778,0.996371715,0.07146767,0.040930057,0.942079457,0.99166696,0.933785479,0.688654952,0.929101814,0.483725862,0.682552913
Florida,ADF Statistic,-2.801095919,-3.99318675,-0.252221848,-0.492149353,-0.35468331,-0.421394649,-0.215673108,-1.964142797,0.586009632,-1.880534551,-1.184036126,-2.560240094,-1.459902318
Florida,P-value,0.196542213,0.00899171,0.990547942,0.983738497,0.988162559,0.986216878,0.99125113,0.620822504,0.996973745,0.66469509,0.91372306,0.298526775,0.842461863
Georgia,ADF Statistic,-2.056091655,-1.168892135,-0.93711264,-2.413435468,-1.704598115,-1.701432409,-0.16191198,-0.242170899,1.070432994,-2.004630363,2.700434011,-1.614617731,-0.924929003
Georgia,P-value,0.570579202,0.916685087,0.952005933,0.372500801,0.7488473,0.75024174,0.992166465,0.990748318,1,0.598909125,1,0.786655881,0.953407884
Hawaii,ADF Statistic,-2.914907542,-2.835011667,-2.852096261,-1.265459092,-2.577399287,-2.365526521,-2.966965732,1.297418889,0.340752986,-3.379068901,-2.967463884,-2.72997875,-3.416518611
Hawaii,P-value,0.157443979,0.184382393,0.178468369,0.896208317,0.29040414,0.398099172,0.141552028,1,0.996424517,0.054247915,0.141405692,0.223847121,0.049219739
Idaho,ADF Statistic,-2.281968721,-2.440651262,-2.424119492,-2.256609338,-2.63124822,-2.695790654,0.986135485,-1.618365862,1.240297118,-3.448880423,-0.921841348,-3.398964258,-2.368191283
