geoname,year,region,geocode,taxrevenueratio,  AGR,AGRm,AGRr,  MIN,MINm,MINr,  MAN,MANm,MANr,  Wholesale trade,  Retail trade,  TandW,TandWm,TandWr,  INF,INFm,INFr,   FandI,FandIm,FandIr,   RE,Rem,REr,"   Professional, scientific, and technical services",   Educational services,   HS,HSm,HSr,STR,GDP,taxrevenue,SPI,PIEPC,PIEPCm,TRADE,TRADEm,TRADEr,PSTE,PSTEm,PSTEr,igt,lg(igt),c,p,lg(pl),wapw,MEHI,MEHIm,unemployrate,lg(gdp),lg(ml),granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Alabama,1997,Southeast,0,,1525,0.1525,0.014651149,3035,0.3035,0.029158188,20837,2.0837,0.200187535,7805,10280,3746,0.3746,0.035988986,3051,0.3051,0.029311905,4771,0.4771,0.04583648,13505,1.3505,0.129746732,6762,701,9250,0.925,0.088867625,,104087.4,0,,17609,1.7609,18085,1.8085,0.173748215,7463,0.7463,0.07169936,,,,,,,82540,8.254,4.933333333,5.01739816,,234160,206311,27849,0.134985532,Republican
Alabama,1998,Southeast,0,,1628,0.1628,0.014880585,3466,0.3466,0.031680656,21584,2.1584,0.197286578,8444,10935,4105,0.4105,0.037521377,3055,0.3055,0.027923948,4500,0.45,0.041131839,13560,1.356,0.12394394,7290,701,9638,0.9638,0.088095258,,109404.3,0,99772.9,18235,1.8235,19379,1.9379,0.177131977,7991,0.7991,0.073041005,,,,,,,86010,8.601,4.458333333,5.039034392,,246128,218966,27162,0.124046656,Republican
Alabama,1999,Southeast,0,,1896,0.1896,0.016482528,3186,0.3186,0.027696906,22488,2.2488,0.195495297,8592,11121,4069,0.4069,0.035373104,3218,0.3218,0.027975092,5313,0.5313,0.04618759,14384,1.4384,0.125044662,7466,733,9611,0.9611,0.083551463,,115030.9,0,103204.1,19157,1.9157,19713,1.9713,0.171371345,8199,0.8199,0.0712765,,,,,,,85430,8.543,4.725,5.060814518,,267886,237884,30002,0.126120294,Democrat
Alabama,1999,Southeast,0,,1896,0.1896,0.016482528,3186,0.3186,0.027696906,22488,2.2488,0.195495297,8592,11121,4069,0.4069,0.035373104,3218,0.3218,0.027975092,5313,0.5313,0.04618759,14384,1.4384,0.125044662,7466,733,9611,0.9611,0.083551463,,115030.9,0,103204.1,19157,1.9157,19713,1.9713,0.171371345,8199,0.8199,0.0712765,,,,,,,85430,8.543,4.725,5.060814518,,267886,237884,30002,0.126120294,"Democrat, Republican"
Alabama,2000,Southeast,0,0.053994536,1865,0.1865,0.01564041,2843,0.2843,0.02384219,22715,2.2715,0.190494321,8962,10980,4148,0.4148,0.034786284,3232,0.3232,0.027104453,5758,0.5758,0.048288193,14744,1.4744,0.123647293,7382,751,9819,0.9819,0.082344871,6438.438,119242.4,53994.5355,108002.9,20158,2.0158,19942,1.9942,0.16723917,8133,0.8133,0.068205605,,,,,,,84920,8.492,4.625,5.076430709,,285874,254098,31776,0.125054113,Democrat
Alabama,2001,Southeast,0,0.05510613,2000,0.2,0.016333291,3146,0.3146,0.025692266,22129,2.2129,0.180719694,8985,10700,3777,0.3777,0.030845419,3813,0.3813,0.031139419,7052,0.7052,0.057591183,15615,1.5615,0.127522166,7548,719,9802,0.9802,0.080049457,6747.707,122449.3,55106.12964,111894.1,20868,2.0868,19685,1.9685,0.160760413,8267,0.8267,0.067513657,,,,,,,90140,9.014,5.183333333,5.087956307,,318542,284384,34158,0.120112243,Democrat
Alabama,2002,Southeast,0,0.050940197,1725,0.1725,0.013498466,2811,0.2811,0.02199663,22412,2.2412,0.175378329,8997,11162,3712,0.3712,0.029047134,4150,0.415,0.03247457,8091,0.8091,0.063313674,15909,1.5909,0.124491069,8036,731,10225,1.0225,0.080012646,6509.765,127792.3,50940.19749,115007.7,21700,2.17,20159,2.0159,0.157748159,8767,0.8767,0.068603507,,,,,,,81910,8.191,5.925,5.106504687,,352895,314672,38223,0.12146934,Democrat
Alabama,2003,Southeast,0,0.047976592,2169,0.2169,0.016218132,2911,0.2911,0.021766244,23323,2.3323,0.174391652,9459,11849,3854,0.3854,0.02881728,4019,0.4019,0.030051025,8627,0.8627,0.064506143,15281,1.5281,0.114259693,8629,758,10318,1.0318,0.077150155,6416.351,133739.2,47976.59175,120241,22673,2.2673,21308,2.1308,0.159325015,9387,0.9387,0.070188845,,,,,,,78810,7.881,5.983333333,5.126258721,,388542,350650,37892,0.10806217,Republican
Alabama,2003,Southeast,0,0.047976592,2169,0.2169,0.016218132,2911,0.2911,0.021766244,23323,2.3323,0.174391652,9459,11849,3854,0.3854,0.02881728,4019,0.4019,0.030051025,8627,0.8627,0.064506143,15281,1.5281,0.114259693,8629,758,10318,1.0318,0.077150155,6416.351,133739.2,47976.59175,120241,22673,2.2673,21308,2.1308,0.159325015,9387,0.9387,0.070188845,,,,,,,78810,7.881,5.983333333,5.126258721,,388542,350650,37892,0.10806217,Democrat
Alabama,2004,Southeast,0,0.047898013,2475,0.2475,0.01689135,3005,0.3005,0.020508488,28004,2.8004,0.19112136,9982,12126,4255,0.4255,0.029039473,4425,0.4425,0.030199686,8694,0.8694,0.059334706,15526,1.5526,0.105961657,8998,825,10813,1.0813,0.073796432,7018.242,146524.7,47898.0131,128606.3,23932,2.3932,22108,2.2108,0.150882411,9823,0.9823,0.067039892,,,,,,,81670,8.167,5.575,5.165910841,,407512,369909,37603,0.101654731,Republican
