geoname,year,predictionr,taxeffortr
Nevada,2018,0.110033497,2.02640704
California,2014,0.113839355,1.975719116
Alaska,2014,0.087464461,1.431951562
Hawaii,2003,0.115723036,1.586135744
Hawaii,2010,0.12103323,1.706144804
Alaska,2008,0.065570928,0.411132381
Washington,2006,0.067080346,1.29642896
Hawaii,2012,0.096988477,1.293778283
Hawaii,2006,0.131187115,1.663358835
Hawaii,2014,0.116615911,1.502253856
Hawaii,2002,0.074471813,0.989433799
Oregon,2012,0.069754158,1.394533714
Alaska,2002,0.136638144,3.712892145
Hawaii,2013,0.07894299,0.981956156
California,2003,0.096308924,1.857262881
Alaska,2007,0.120406974,1.598679886
Oregon,2014,0.070312588,1.375070662
Hawaii,2005,0.12103323,1.601307551
Nevada,2000,0.110033497,2.268217456
Oregon,2013,0.110516322,2.164058858
California,2011,0.074728165,1.285597192
Hawaii,2000,0.125510552,1.561952683
Nevada,2016,0.134725965,2.525133358
Nevada,2011,0.083645628,1.673103288
Nevada,2007,0.084719494,1.768360392
Alaska,2001,0.081878994,1.628777964
California,2000,0.074471813,1.214327851
Washington,2007,0.066066424,1.292685165
Nevada,2008,0.092872681,1.954177589
Hawaii,2002,0.08634496,1.147180634
California,2017,0.115180141,1.984615555
Hawaii,2008,0.122800172,1.595120243
Nevada,2002,0.100047073,2.148703495
Nevada,2019,0.119281306,2.151585273
Nevada,2017,0.085565335,1.619108202
Alaska,2000,0.117087623,2.202932473
Hawaii,2010,0.118241106,1.666785638
Hawaii,2001,0.08890935,1.087215736
Alaska,2006,0.114643154,2.050457946
Washington,2000,0.078368901,1.483093805
Nevada,2015,0.111785491,2.141320425
Washington,2002,0.064544345,1.26849043
Washington,2008,0.092906862,1.839932946
Hawaii,2011,0.111785491,1.621936587
California,2019,0.076924796,1.214635292
Washington,2001,0.109715187,2.071755263
Alaska,2015,0.082178807,3.050925232
Washington,2012,0.10354435,2.355052325
Nevada,2014,0.095204859,1.799645735
Oregon,2006,0.089098814,1.821268318
Nevada,2009,0.068280588,1.473625561
Nevada,2007,0.121433822,2.534703065
California,2002,0.109996928,2.032050539
California,2006,0.089571432,1.508106678
Oregon,2011,0.115010746,2.447594369
Alaska,2013,0.086020792,0.948941542
Alaska,2002,0.109616882,2.978638688
Nevada,2012,0.073966289,1.397890282
Oregon,2005,0.081139097,1.787098492
Oregon,2002,0.101479288,2.382461701
Alaska,2012,0.113387118,0.927603668
Alaska,2016,0.107369498,5.917141887
Hawaii,2004,0.08316685,1.161611457
California,2005,0.067360223,1.200194972
Nevada,2003,0.081114341,1.783293233
California,2009,0.088393982,1.680289506
Oregon,2008,0.07731742,1.705690599
Oregon,2007,0.134977146,2.815549169
Oregon,2010,0.125959575,2.760570244
Oregon,2000,0.107823796,2.126458822
Alaska,2005,0.063292012,1.354685957
California,2007,0.09038014,1.540658978
Alaska,2003,0.118505627,3.364285952
Washington,2005,0.091864165,1.833001401
Alaska,2011,0.086956478,0.883432013
Alaska,2009,0.126483648,1.265527458
Alaska,2009,0.067360223,0.673970215
Hawaii,2009,0.086956478,1.212129566
