Variable,ADF Statistic,P-value
AGRm,-4.093376856,0.006449268
MINm,-2.605166258,0.277520323
MANm,-3.362458827,0.056609452
TandWm,-2.267994301,0.451727463
INFm,-1.614705059,0.786621059
FandIm,-3.046303501,0.119592101
Rem,3.477534362,1
HSm,0.051253415,0.994716403
PIEPCm,0.230956035,0.995945592
TRADEm,-3.107036974,0.104566032
PSTEm,-2.020870017,0.590020483
MEHIm,-3.303352242,0.065703286
unemployrate,-1.439969017,0.848794807
AGRm,-1.928920565,0.639553974
MINm,-1.733172411,0.736056124
MANm,-2.776498218,0.20571026
TandWm,-3.619889583,0.02820495
INFm,-1.511561367,0.825141755
FandIm,-3.278891318,0.069796286
Rem,-2.573278513,0.292343751
HSm,-1.631964285,0.779666645
PIEPCm,-2.417823136,0.370187141
TRADEm,-3.254049994,0.07415951
PSTEm,-1.612942561,0.787323123
MEHIm,-2.788656937,0.201141834
unemployrate,-3.041344072,0.120886424
AGRm,-4.353053702,0.002599014
MINm,-2.386927378,0.386591463
MANm,-4.078879614,0.006771348
TandWm,-0.143617003,0.992448593
INFm,-2.384943697,0.38765337
FandIm,-3.867625832,0.013434503
Rem,-0.987653463,0.945753791
HSm,-0.259208051,0.990405417
PIEPCm,0.989453844,1
TRADEm,-3.700383707,0.022331998
PSTEm,-0.169726629,0.992041594
MEHIm,-3.8732146,0.013201286
unemployrate,-2.136141,0.525808425
AGRm,-2.846151072,0.180510319
MINm,-2.56804719,0.294816178
MANm,-1.248471636,0.900090419
TandWm,-2.074970728,0.560080923
INFm,-5.40033154,3.62E-05
FandIm,-2.677832924,0.245401342
Rem,-1.406305264,0.859052028
HSm,-1.702407196,0.74981285
PIEPCm,0.260719365,0.996092679
TRADEm,-2.395503126,0.382012354
PSTEm,-1.819475228,0.695292631
MEHIm,-4.767228274,0.000534304
unemployrate,-1.569603909,0.804109213
AGRm,-2.195203513,0.49255051
MINm,-3.103375254,0.105429425
MANm,-1.641449681,0.775783488
TandWm,0.728038841,1
INFm,-1.565334289,0.805713059
FandIm,-3.149044117,0.095041648
Rem,-2.319175256,0.423373981
HSm,-1.058584964,0.935696434
PIEPCm,0.572630176,0.996959394
TRADEm,-2.146678197,0.519879226
PSTEm,0.232020516,0.995951091
MEHIm,-2.048168258,0.574970274
unemployrate,-2.257360657,0.457662965
AGRm,-1.925194233,0.641515549
MINm,0.537931623,0.996914357
MANm,-3.067142135,0.114265654
TandWm,-1.908582028,0.650210352
INFm,-0.557801791,0.980986256
FandIm,-1.894826641,0.657345733
Rem,-0.105478696,0.992993228
HSm,3.886632586,1
PIEPCm,1.130533539,1
TRADEm,-2.312253873,0.427184172
PSTEm,2.274409892,1
MEHIm,-3.174827822,0.089535263
unemployrate,1.216842994,1
AGRm,-1.543496748,0.81377552
MINm,-1.284408818,0.891730917
MANm,-2.189596782,0.495707424
TandWm,0.321497192,0.996352635
INFm,1.239800463,1
FandIm,-2.068725906,0.56355878
Rem,-2.355285251,0.403644467
HSm,-2.381946752,0.389259587
PIEPCm,-0.892280256,0.956974595
TRADEm,-3.316626448,0.063564486
PSTEm,-0.714522223,0.972175783
MEHIm,-2.033919762,0.582841774
unemployrate,-2.063238628,0.566610568
AGRm,-4.955329059,0.000247943
MINm,-3.814583186,0.015836853
MANm,-2.210518817,0.48393237
TandWm,-0.022908033,0.993993765
INFm,-1.968941058,0.618245597
FandIm,-2.970488516,0.140519505
Rem,-0.639419634,0.976838965
HSm,2.669829277,1
PIEPCm,-3.672309608,0.024246727
TRADEm,-1.954121033,0.626185902
PSTEm,-0.437506939,0.985692693
MEHIm,-2.345421946,0.409007071
unemployrate,-1.581742813,0.799500325
AGRm,-2.41699789,0.370621882
MINm,-0.204174304,0.99145832
MANm,-0.876948979,0.958557452
TandWm,5.809884639,1
INFm,-2.149746787,0.518151805
FandIm,-0.890583586,0.957152596
Rem,-1.376523166,0.867673513
HSm,-0.860213901,0.960220855
PIEPCm,0.365711693,0.996510692
TRADEm,-3.038446761,0.121647344
PSTEm,-3.296103922,0.066895447
