geoname,level_1,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Alabama,ADF Statistic,-2.354157279,-7.748670268,-2.340689885,-3.445770496,-1.246585447,-2.294454469,-0.448619104,-3.19868797,-3.435761827,-2.637936115,-3.656052639,-6.953309747,-3.638171755
Alabama,P-value,0.404256666,2.72E-10,0.41158719,0.045566325,0.900513884,0.43701966,0.985317872,0.084663458,0.046790068,0.262743283,0.025419355,1.80E-08,0.026765472
Alaska,ADF Statistic,-1.020400701,-2.561621568,-3.242052467,-2.067373997,-5.373140445,-6.663479784,-4.868865943,-2.61729138,-1.215188667,-4.430954274,-2.655165935,-4.01259134,-3.299378284
Alaska,P-value,0.94130555,0.297868377,0.076343174,0.564311024,4.08E-05,8.03E-08,0.000354154,0.271997811,0.907344082,0.001953506,0.255165197,0.008438087,0.06635476
Arizona,ADF Statistic,-3.13202291,-3.626607451,-1.514249542,-1.20818457,-2.224251361,-3.462379814,-2.373276146,-1.532364725,1.307492067,-2.686181609,-2.341478829,-5.433552022,-2.074050309
Arizona,P-value,0.09881724,0.027668445,0.824204436,0.908812331,0.47621433,0.043594462,0.393919169,0.81779482,1,0.241864784,0.411156702,3.11E-05,0.560593829
Arkansas,ADF Statistic,-8.706807206,-2.020519699,-1.971099149,-1.540550046,-2.044054692,-3.359233451,-5.812080062,-2.166772872,1.457915229,-2.017459967,-1.749834792,-2.710652397,-2.709716965
Arkansas,P-value,1.68E-12,0.590212766,0.61708474,0.814845411,0.577246173,0.057077639,5.40E-06,0.508563279,1,0.59189121,0.728430221,0.231686244,0.232070161
California,ADF Statistic,-3.593486003,-2.206356841,-2.366290572,-4.734582155,-7.130127672,-2.229211464,-3.119773957,-3.915489689,-2.566891857,-2.665218011,-4.798068784,-2.689735181,-3.69623693
California,P-value,0.030401169,0.486273448,0.397686428,0.000608627,7.16E-09,0.473429484,0.101604547,0.011550815,0.295363724,0.250806187,0.000472056,0.240369294,0.022606261
Colorado,ADF Statistic,-3.640973667,-2.892673094,-0.968233657,-2.748145574,-3.562241473,-2.360438892,-2.890274213,1.031519511,-1.823274882,-2.594927112,0.331065928,-6.305595815,-2.957601738
Colorado,P-value,0.026550556,0.16459615,0.948241494,0.216640591,0.033187794,0.400850971,0.16538092,1,0.693428639,0.282233222,0.996388956,4.90E-07,0.144322902
Connecticut,ADF Statistic,-4.258776667,-2.397766012,-22.0305518,-3.43620346,-4.207226828,-4.091622704,-5.892714314,-0.99694167,-2.612215515,-19.09381076,-1.564720898,-0.254912495,-8.879738946
Connecticut,P-value,0.003643098,0.380807279,0,0.046735499,0.00436575,0.006487485,3.68E-06,0.944524955,0.274301897,0,0.805942736,0.99049337,6.80E-13
Delaware,ADF Statistic,-2.1348327,-3.093238106,-13.94863947,-1.362657672,-19.793466,-5.082830198,-1.730239832,-2.309906977,1.031053523,-2.166070865,-2.326455581,-4.097192197,-2.05903127
Delaware,P-value,0.526544268,0.107847805,1.22E-21,0.871544287,0,0.000144983,0.737385676,0.428478023,1,0.50895871,0.41937553,0.006366852,0.568947741
Florida,ADF Statistic,-3.011088194,-3.068042373,-0.901464677,-0.102745109,-1.679997235,-2.546543158,-2.461370587,-0.567397145,-2.554891077,-3.039184089,-2.901348116,-3.189743908,-3.97441792
Florida,P-value,0.129007327,0.114039606,0.955998618,0.993030122,0.759562446,0.305096097,0.347536834,0.980542933,0.301083334,0.121453366,0.16177955,0.086464797,0.009558118
Georgia,ADF Statistic,-3.468330333,-1.547297174,-4.143133954,-2.390781293,-2.613699675,-2.818190059,-2.619593579,-3.381322306,-2.371097268,-2.36810542,-3.919757337,-4.711821659,-2.085920205
Georgia,P-value,0.042905604,0.812389321,0.00544699,0.384531261,0.273627031,0.190343675,0.270956483,0.053933863,0.395092974,0.396706586,0.011394908,0.000666117,0.553971616
Hawaii,ADF Statistic,-4.744175209,-2.018285891,-3.278655172,-5.163187043,-4.58169975,-1.124628474,-1.831761496,-1.032970118,-2.35283645,-2.793870585,-1.594088037,-4.81190137,-2.824076652
Hawaii,P-value,0.00058583,0.591438317,0.069836774,0.000102723,0.001106302,0.924840928,0.689245487,0.939510601,0.404973893,0.199204828,0.794738897,0.000446428,0.188241952
Idaho,ADF Statistic,-3.609170475,-5.396356071,-5.227744611,-5.549811396,-2.15896847,-1.762581301,0.983116605,-0.929640793,-0.443429825,-3.138251974,-0.139181947,-3.038607599,-1.00915759
Idaho,P-value,0.029079533,3.68E-05,7.76E-05,1.84E-05,0.512959098,0.722515391,1,0.952870385,0.985494287,0.097422419,0.992514888,0.121605011,0.942869447
Illinois,ADF Statistic,-1.867392334,-5.796367073,-3.296418831,-2.824263282,-3.995983815,-2.508607058,-0.773333171,-1.266071495,-2.949893073,-2.732896974,-4.654930348,-2.838246655,-2.608079413
Illinois,P-value,0.671392917,5.82E-06,0.066843294,0.188175594,0.00890994,0.323672524,0.967857388,0.896066056,0.14663271,0.222678867,0.000833063,0.183251708,0.276187679
Indiana,ADF Statistic,-3.035704672,-2.079773031,-7.213214101,-4.308160037,-3.893618199,-3.780182039,-2.772924206,-4.054237617,-2.568771068,-2.982013668,-4.485710479,-1.937073992,-4.840581386
Indiana,P-value,0.122370749,0.557403169,4.63E-09,0.003055743,0.01238015,0.01759103,0.207066733,0.00735248,0.294473389,0.137179178,0.001592835,0.635248057,0.000397438
Iowa,ADF Statistic,-1.917509194,-1.599985079,-10.56862578,-2.632471898,-3.023505909,-31.81884915,-3.47900795,-0.077730976,-3.287051933,-1.805280489,-0.349279133,-5.7287702,-10.3512649
Iowa,P-value,0.645548173,0.792438135,1.55E-16,0.265174388,0.125627408,0,0.041692373,0.99335516,0.068408648,0.702206567,0.988305481,8.00E-06,4.27E-16
Kansas,ADF Statistic,-1.495069796,-4.893703864,-2.558459751,-4.820579375,-3.492086986,-2.08949695,-3.971190044,-3.669849868,-2.365605758,-3.480378713,-3.067634157,-1.599278747,-2.513359268
Kansas,P-value,0.830813923,0.000319876,0.299376409,0.000431031,0.040245642,0.551973046,0.009658701,0.024421081,0.398056361,0.041538727,0.114142067,0.79271461,0.32131565
Kentucky,ADF Statistic,-6.722334281,-2.042330242,-3.522310474,-2.97899055,-3.806135399,-4.125697182,-3.417874755,-4.155290338,-2.501936136,-3.54330848,0.337579602,-4.54957573,-4.453702037
Kentucky,P-value,5.94E-08,0.578199454,0.037063425,0.138049792,0.016252665,0.005780797,0.049045152,0.005224786,0.326994975,0.034980118,0.996413001,0.001250998,0.001795298
Louisiana,ADF Statistic,-0.889279826,-3.172824578,-2.296646184,-3.368918233,-2.240018878,-0.202395033,-5.46839778,-2.624964665,-3.956391396,-2.755683314,-4.151456339,-10.07411204,-4.271995722
Louisiana,P-value,0.957288894,0.089954003,0.43580585,0.055681273,0.467367972,0.991489805,2.66E-05,0.268536082,0.010132129,0.213696906,0.005293956,1.61E-15,0.003476436
Maine,ADF Statistic,-4.19028642,-2.425420384,-10.77166858,-3.64748711,-2.230603069,-1.969439267,-2.847572391,-4.582574601,-1.92530682,-2.695195753,-1.983795964,-3.480753033,-2.818385905
Maine,P-value,0.004630558,0.366194152,6.14E-17,0.026056703,0.472648478,0.617977707,0.180020592,0.00110259,0.641456342,0.238082741,0.610232394,0.041496853,0.190273481
Maryland,ADF Statistic,-6.383109104,-3.088470533,-5.415886103,-2.238367808,-3.282348168,-3.576206308,-3.20600632,-0.705014955,-3.269726145,-1.9523289,1.327174054,-4.107674564,-3.787431531
Maryland,P-value,3.32E-07,0.108999558,3.37E-05,0.468293398,0.069205751,0.031916473,0.083211498,0.972816229,0.071381531,0.627142265,1,0.006145326,0.017207752
Massachusetts,ADF Statistic,-4.496989543,-1.461488128,-3.530321843,-2.232067355,-3.834103101,-2.389303478,-4.090830513,-1.363344514,-2.475512527,-2.436967456,-4.772057061,-2.600357747,-2.728814522
Massachusetts,P-value,0.001526725,0.841949701,0.03625651,0.471826835,0.014911831,0.38532081,0.006504811,0.871354666,0.340311305,0.360157883,0.00052407,0.279728004,0.22431433
Michigan,ADF Statistic,-2.452188459,-1.23706168,-2.852011847,-4.234488485,-1.684781499,-17.83975773,-1.911418011,-1.948864839,-4.012143604,-2.498251937,-4.054967555,-5.713549031,-2.830903485
Michigan,P-value,0.352263527,0.902629135,0.178497242,0.003968636,0.757500503,0,0.648731899,0.628988437,0.008450506,0.328836815,0.007334635,8.60E-06,0.18582559
Minnesota,ADF Statistic,-7.025189977,-0.575010027,-3.750578022,-4.347109097,-1.550492326,-4.760540072,-0.09921346,-2.418592323,-4.747406635,-2.737052402,1.30742368,-2.004368547,-2.966379745
Minnesota,P-value,1.24E-08,0.980183241,0.019235243,0.002655628,0.811218373,0.000548793,0.993077378,0.369782108,0.000578334,0.221022337,1,0.599051996,0.141724304
Mississippi,ADF Statistic,-5.783536526,-3.264469006,-3.201260965,-3.029203916,-4.731606209,-1.677356543,-4.05484293,-4.037424993,-2.548100076,-3.245604444,-4.71441014,-4.063346097,-2.272702135
Mississippi,P-value,6.19E-06,0.072303735,0.084150732,0.124098406,0.000615868,0.76069598,0.007337679,0.007774525,0.3043456,0.07569143,0.000659329,0.007132604,0.449103865
