geoname,,,AGRm,MINm,MANm,TandWm,INFm,FandIm,Rem,HSm,PIEPCm,TRADEm,PSTEm,MEHIm,unemployrate
Alabama,,,0.0103,0.0431,0.0747,0.0359,0.0004,-0.0271,0.0055,0.0388,0.0626,0.1294,0.0528,0.347,-0.475
Alabama,,,0.0268,-0.028,0.0904,-0.0036,0.0163,0.0813,0.0824,-0.0027,0.0922,0.0334,0.0208,-0.058,0.266666667
Alabama,,,-0.0031,-0.0343,0.0227,0.0079,0.0014,0.0445,0.036,0.0208,0.1001,0.0229,-0.0066,-0.051,-0.1
Alabama,,,0.0135,0.0303,-0.0586,-0.0371,0.0581,0.1294,0.0871,-0.0017,0.071,-0.0257,0.0134,0.522,0.558333333
Alabama,,,-0.0275,-0.0335,0.0283,-0.0065,0.0337,0.1039,0.0294,0.0423,0.0832,0.0474,0.05,-0.823,0.741666667
Alabama,,,0.0444,0.01,0.0911,0.0142,-0.0131,0.0536,-0.0628,0.0093,0.0973,0.1149,0.062,-0.31,0.058333333
Alabama,,,0.0306,0.0094,0.4681,0.0401,0.0406,0.0067,0.0245,0.0495,0.1259,0.08,0.0436,0.286,-0.408333333
Alabama,,,0.0143,0.0132,0.0973,0.0279,0.0498,0.0283,0.0005,0.0356,0.1371,0.1596,-0.0048,-0.11,-1.116666667
Alabama,,,-0.0423,-0.0137,0.1053,0.026,0.0124,-0.0417,0.0456,0.0505,0.0942,0.0506,0.0449,-0.154,-0.458333333
Alabama,,,-0.0646,0.0278,-0.0471,-0.008,-0.0085,-0.0343,0.0995,-0.0144,0.0915,-0.0269,0.0227,0.701,0.041666667
Alabama,,,0.0033,-0.0222,-0.0521,0.0049,0.0112,-0.092,0.0663,0.0492,0.0395,-0.0513,0.0849,-0.173,1.841666666
Alabama,,,0.0584,-0.0033,-0.3652,-0.0376,-0.038,0.0198,0.0139,0.0154,-0.0597,-0.1767,-0.0033,-0.282,4.199999997
Alabama,,,-0.0165,-0.0027,0.1788,0.0333,-0.0159,-0.0069,0.0926,-0.0026,0.0677,0.0197,-0.0158,-0.6,0.29166667
Alabama,,,-0.0728,-0.0268,0.2172,0.0258,-0.0157,-0.0228,0.0911,0.0185,0.0787,-0.012,0.0066,-0.28,-0.791666667
Alabama,,,0.0132,0.0033,0.0848,-0.0174,-0.0176,0.1379,-0.0014,-0.0003,0.0498,-0.0027,-0.0105,0.634,-1.425
Alabama,,,0.086,-0.0073,0.1768,-0.0028,0.0094,-0.058,-0.02,0.0224,0.0674,0.0514,-0.0038,0.988,-0.833333333
Alabama,,,-0.0154,-0.002,-0.0999,-0.0081,0.0074,0.0452,-0.0076,0.0233,0.0771,0.085,-0.0013,-0.711,-0.591666667
Alabama,,,0.0066,0.0115,0.0298,-0.0219,0.0124,0.0009,0.0371,0.0668,0.0765,0.0475,0.0272,0.912,-0.608333333
Alabama,,,-0.01903,-0.09906,0.28221,0.08213,0.02152,0.31162,0.259,0.17772,0.0875,0.23182,0.23106,-0.006,-0.216666667
Alabama,,,0.04437,0.01576,0.14183,0.07533,-0.03279,0.06329,0.2247,0.08999,0.1015,0.20008,0.08399,0.11,-1.4
Alabama,,,0.01455,-0.01393,0.12707,0.02766,0.01886,-0.02452,0.0307,0.04499,0.1033,0.05877,0.07229,-1.251,-0.566666666
Alabama,,,-0.04062,-0.00608,0.01899,-0.03211,0.05814,0.0101,0.07248,0.0768,0.1292,0.05002,0.05549,0.984,-0.758333334
Alabama,,,-0.04364,-0.01439,-0.13444,-0.01116,-0.00536,0.00446,-0.0107,-0.04493,-0.0467,0.09049,0.02375,-0.503,3.241666667
Alabama,,,0.06962,-0.00531,0.01523,0.06298,0.07174,0.13092,0.17865,0.07731,0.4296,-0.00074,0.10452,0.323,-3.058333333
Alabama,,,-0.02638,0.00611,0.24752,-0.0209,0.05333,-0.09814,0.098,0.04994,0.3217,-0.14966,0.12582,0.225,-0.791666667
Alaska,,,-0.0026,-0.3806,0.0401,0.0059,0.0045,0.0158,-0.0081,0.0044,0.0897,0.0199,-0.001,0.66,-0.608333333
Alaska,,,0.0036,-0.144,-0.0434,0.0152,0.0032,0.0062,0.0155,0.0048,0.1313,0.0064,0.0009,-0.127,0.083333333
Alaska,,,0.0063,-0.2061,-0.0133,0.0052,0.0067,0.0094,0.0065,0.0136,0.182,-0.0016,0.0007,-0.334,-0.091666666
Alaska,,,-0.0018,0.2047,0.0062,-0.0736,0.0074,0.0056,0.0059,0.0134,0.1653,0.0106,0.0098,0.311,0.883333334
Alaska,,,0.0033,-0.2325,0.0146,0.0297,0.0044,0.0161,-0.0037,0.0151,0.1452,0.0127,0.0012,-0.172,0.516666666
Alaska,,,-0.0024,0.1003,0.0075,0.0335,0.0098,-0.0177,0.0045,0.0154,0.1434,-0.0014,0.0047,-0.231,-0.266666666
Alaska,,,0.0052,0.0257,-0.0183,0.0191,0.0121,0.0236,0.0074,0.0047,0.1879,0.0127,0.0019,-0.078,-0.483333334
Alaska,,,0.0022,0.2132,0.0053,0.022,0.0039,-0.0132,-0.0029,0.0053,0.093,0.003,-0.0002,-0.038,-0.3
Alaska,,,-0.0046,0.1182,0.0102,0.0518,0.0054,-0.0031,0.0246,-0.0006,0.1709,0.0013,0.0071,0.449,-0.375
Alaska,,,0.0037,-0.0192,-0.0201,0.0667,0.0056,-0.0004,0.0119,0.0123,0.1255,-0.0034,0.0212,0.094,0.216666667
Alaska,,,0.0035,0.3348,0.0145,-0.1052,-0.0106,0.0096,0.0257,0.0118,-0.004,-0.0092,0.0038,-0.571,1.508333333
Alaska,,,0.0065,0.072,-0.0213,-0.0184,0.0088,-0.002,0.0228,0.0193,0.1481,-0.0024,0.0098,0.048,-0.4
Alaska,,,-0.0054,0.1911,-0.0029,0.0148,0.0044,0.0018,0.0031,0.0119,0.1006,-0.0026,0.0008,0.007,-0.483333333
Alaska,,,0.0001,-0.2099,0.0308,-0.0085,0.0101,-0.0028,0.0018,0.0124,0.0459,0.0087,0.0018,0.408,-0.258333333
Alaska,,,1.00E-04,-0.1542,0.0059,-0.0044,-0.0006,0.0095,-0.0105,-0.0024,0.1337,0.0036,-0.0043,-0.691,-0.25
Alaska,,,0.0037,-0.0272,0.0077,-0.0211,0.0124,-0.0027,-0.0175,0.0137,0.0767,0.0023,-0.002,0.274,-0.466666667
Alaska,,,-0.01777,-0.60606,0.02758,0.19366,-0.00345,0.01346,0.08621,0.06503,0.0685,0.02919,0.00992,0.278,0.325
Alaska,,,0.00431,0.1788,0.01737,0.07196,-0.00483,0.02015,-0.00488,0.02284,0.1371,0.02053,0.00055,0.332,-0.091666667
Alaska,,,-0.00043,-0.09714,-0.04649,0.00821,-0.01772,-0.00655,0.01571,0.0196,0.183,0.01451,-0.00637,-0.226,-0.466666666
Alaska,,,0.002,0.00361,0.01438,-0.04798,0.01033,-0.00135,-0.0183,0.00957,0.1236,0.016,0.00404,0.629,-0.45
Alaska,,,-0.00605,0.09588,-0.00828,-0.05711,-0.00202,-0.01157,-0.015,-0.01189,-0.2378,-0.01208,-0.01973,-0.236,2.716666666
Alaska,,,-0.0031,-0.12736,-0.00349,0.09532,0.02696,-7.00E-05,0.03129,0.02355,0.622,-0.01198,0.01761,-0.026,-1.875
Alaska,,,0.00451,-0.08865,-0.00259,0.0182,0.01213,-0.00764,0.03347,0.00625,0.5197,-0.02031,0.01161,-0.148,-2.408333333
Arizona,,,0.0186,-0.0156,0.2055,0.0163,0.0572,0.1497,0.0703,0.0406,0.0887,0.2844,0.0797,0.195,-0.35
Arizona,,,0.0116,0.0088,0.2715,0.0209,0.0377,0.1732,0.2121,0.0405,0.1021,0.129,0.0518,0.24,0.183333333
Arizona,,,0.0166,0.0154,0.1038,-0.008,0.0194,0.0512,0.111,0.0354,0.1256,0.1754,0.0757,-0.162,-0.475
Arizona,,,-0.0175,-0.0555,0.0835,-0.0617,0.0422,0.1142,0.124,0.0462,0.0607,0.0963,0.013,0.467,0.741666667
Arizona,,,0.0214,-0.0276,0.053,0.0113,0.0726,-0.0229,0.1015,0.0718,0.0635,0.0861,0.0586,-0.212,1.416666667
Arizona,,,-0.0122,0.0201,0.3433,0.0349,0.0012,0.1716,0.0006,0.0882,0.1156,0.2173,0.0036,-0.161,-0.358333334
Arizona,,,0.0252,0.0452,-0.2432,0.0912,0.0372,0.0044,0.121,0.0924,0.1561,0.1808,0.0913,0.323,-0.816666666
Arizona,,,0.0131,0.1307,-0.0524,0.0634,0.0211,0.1472,0.5386,0.0825,0.1629,0.267,0.1063,0.095,-0.3
Arizona,,,-0.0086,0.0952,0.2156,0.0576,0.0426,-0.2745,0.3675,0.1573,0.1413,0.2142,0.1197,-0.093,-0.358333334
Arizona,,,-0.0203,0.0182,0.2813,-0.0128,0.0451,-0.005,0.11,0.0795,0.0984,0.0692,0.0729,0.381,-0.558333333
Arizona,,,-0.0354,-0.0274,-0.1346,-0.0208,0.0201,-0.1867,-0.0219,0.1507,-0.0057,-0.2527,0.0822,-0.356,2.041666667
Arizona,,,-0.0233,-0.0764,-0.3141,-0.0594,-0.0362,0.0209,-0.2235,0.0169,-0.1366,-0.3002,-0.0952,-0.383,3.875
