geoname,year,prediction
Hawaii,2002,0.110033497
Alaska,2006,0.113839355
Alaska,2018,0.087464461
Hawaii,2003,0.115723036
Alaska,2009,0.12103323
California,2002,0.065570928
California,2018,0.067080346
Oregon,2003,0.096988477
Hawaii,2011,0.131187115
Oregon,2012,0.116615911
Washington,2005,0.074471813
Nevada,2001,0.069754158
Hawaii,2013,0.136638144
Nevada,2016,0.07894299
California,2015,0.096308924
Hawaii,2007,0.120406974
Washington,2004,0.070312588
Alaska,2009,0.12103323
Hawaii,2002,0.110033497
Hawaii,2000,0.110516322
California,2004,0.074728165
Hawaii,2010,0.125510552
Hawaii,2014,0.134725965
California,2010,0.083645628
Nevada,2019,0.084719494
California,2000,0.081878994
Washington,2005,0.074471813
California,2016,0.066066424
Washington,2012,0.092872681
Nevada,2005,0.08634496
Oregon,2011,0.115180141
Oregon,2014,0.122800172
Washington,2013,0.100047073
Nevada,2015,0.119281306
Washington,2008,0.085565335
Nevada,2014,0.117087623
Nevada,2013,0.118241106
California,2012,0.08890935
Nevada,2008,0.114643154
Washington,2000,0.078368901
Nevada,2011,0.111785491
California,2019,0.064544345
California,2013,0.092906862
Nevada,2011,0.111785491
California,2006,0.076924796
Oregon,2009,0.109715187
Washington,2007,0.082178807
Oregon,2005,0.10354435
Oregon,2001,0.095204859
Nevada,2000,0.089098814
Nevada,2003,0.068280588
Oregon,2013,0.121433822
Nevada,2010,0.109996928
Nevada,2018,0.089571432
Hawaii,2004,0.115010746
Alaska,2003,0.086020792
Nevada,2012,0.109616882
Washington,2001,0.073966289
Nevada,2004,0.081139097
Oregon,2000,0.101479288
Hawaii,2001,0.113387118
Nevada,2009,0.107369498
Washington,2009,0.08316685
California,2003,0.067360223
Washington,2006,0.081114341
Washington,2010,0.088393982
Alaska,2000,0.07731742
Hawaii,2012,0.134977146
Oregon,2015,0.125959575
Oregon,2006,0.107823796
Washington,2003,0.063292012
Alaska,2016,0.09038014
Alaska,2015,0.118505627
Alaska,2002,0.091864165
California,2011,0.086956478
Hawaii,2009,0.126483648
California,2003,0.067360223
California,2011,0.086956478
Washington,2011,0.090718797
Alaska,2010,0.123902492
Nevada,2017,0.090614286
California,2005,0.076407421
California,2007,0.084485794
Oregon,2007,0.108620224
Hawaii,2006,0.119329687
Alaska,2007,0.118140612
California,2017,0.061952849
Alaska,2011,0.13105602
Hawaii,2010,0.125510552
Oregon,2011,0.115180141
Oregon,2010,0.113028636
California,2008,0.098934992
Alaska,2013,0.129838182
Oregon,2003,0.096988477
Alaska,2004,0.099768708
Hawaii,2005,0.116430041
Washington,2002,0.066179569
Nevada,2007,0.112017986
Alaska,2008,0.121537946
Nevada,2002,0.064767912
California,2001,0.071316845
California,2014,0.094804573
California,2009,0.084375317
Alaska,2002,0.091864165
Alaska,2001,0.077260968
Alaska,2005,0.099559013
Alaska,2014,0.125710455
Nevada,2007,0.112017986
Oregon,2004,0.106074263
Alaska,2012,0.130806887
Hawaii,2008,0.127486536
Alaska,2014,0.125710455
Alaska,2006,0.113839355
Alaska,2017,0.086934728
Oregon,2002,0.095268881
Nevada,2006,0.103163927
Oregon,2008,0.119027582
Wisconsin,2001,0.045595212
Wisconsin,2008,0.052766279
Michigan,2007,0.053194403
Illinois,2019,0.04201182
Illinois,2002,0.039753924
Wisconsin,2011,0.058359507
Wisconsin,2019,0.047721625
Illinois,2008,0.051600779
