geoname,year,region,geocode,taxrevenueratio,  AGR,AGRm,AGRr,  MIN,MINm,MINr,  MAN,MANm,MANr,  Wholesale trade,  Retail trade,  TandW,TandWm,TandWr,  INF,INFm,INFr,   FandI,FandIm,FandIr,   RE,Rem,REr,"   Professional, scientific, and technical services",   Educational services,   HS,HSm,HSr,STR,GDP,taxrevenue,SPI,PIEPC,PIEPCm,TRADE,TRADEm,TRADEr,PSTE,PSTEm,PSTEr,igt,lg(igt),c,p,lg(pl),wapw,MEHI,MEHIm,unemployrate,lg(gdp),lg(ml),granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty,prediction,taxeffort
Alabama,1997,Southeast,0,,1525,0.1525,0.014651149,3035,,0.029158188,20837,2.0837,0.200187535,7805,10280,3746,,0.035988986,3051,,0.029311905,4771,,0.04583648,13505,,0.129746732,6762,701,9250,,0.088867625,,104087.4,0,,17609,,18085,,0.173748215,7463,,0.07169936,,,,,,,82540,8.254,,5.01739816,,234160,206311,27849,0.134985532,Republican,,#DIV/0!
Alabama,1998,Southeast,0,,1628,0.1628,0.014880585,3466,0.0431,0.031680656,21584,2.1584,0.197286578,8444,10935,4105,0.0359,0.037521377,3055,0.0004,0.027923948,4500,-0.0271,0.041131839,13560,0.0055,0.12394394,7290,701,9638,0.0388,0.088095258,,109404.3,0,99772.9,18235,0.0626,19379,0.1294,0.177131977,7991,0.0528,0.073041005,,,,,,,86010,8.601,-0.475,5.039034392,,246128,218966,27162,0.124046656,Republican,,#DIV/0!
Alabama,1999,Southeast,0,,1896,0.1896,0.016482528,3186,-0.028,0.027696906,22488,2.2488,0.195495297,8592,11121,4069,-0.0036,0.035373104,3218,0.0163,0.027975092,5313,0.0813,0.04618759,14384,0.0824,0.125044662,7466,733,9611,-0.0027,0.083551463,,115030.9,0,103204.1,19157,0.0922,19713,0.0334,0.171371345,8199,0.0208,0.0712765,,,,,,,85430,8.543,0.266666667,5.060814518,,267886,237884,30002,0.126120294,Democrat,,#DIV/0!
Alabama,2000,Southeast,0,0.053994536,1865,0.1865,0.01564041,2843,-0.0343,0.02384219,22715,2.2715,0.190494321,8962,10980,4148,0.0079,0.034786284,3232,0.0014,0.027104453,5758,0.0445,0.048288193,14744,0.036,0.123647293,7382,751,9819,0.0208,0.082344871,6438.438,119242.4,53994.5355,108002.9,20158,0.1001,19942,0.0229,0.16723917,8133,-0.0066,0.068205605,,,,,,,84920,8.492,-0.1,5.076430709,,285874,254098,31776,0.125054113,Democrat,0.073130861,1.35441225
Alabama,2001,Southeast,0,0.05510613,2000,0.2,0.016333291,3146,0.0303,0.025692266,22129,2.2129,0.180719694,8985,10700,3777,-0.0371,0.030845419,3813,0.0581,0.031139419,7052,0.1294,0.057591183,15615,0.0871,0.127522166,7548,719,9802,-0.0017,0.080049457,6747.707,122449.3,55106.12964,111894.1,20868,0.071,19685,-0.0257,0.160760413,8267,0.0134,0.067513657,,,,,,,90140,9.014,0.558333333,5.087956307,,318542,284384,34158,0.120112243,Democrat,0.066548513,1.207642652
Alabama,2002,Southeast,0,0.050940197,1725,0.1725,0.013498466,2811,-0.0335,0.02199663,22412,2.2412,0.175378329,8997,11162,3712,-0.0065,0.029047134,4150,0.0337,0.03247457,8091,0.1039,0.063313674,15909,0.0294,0.124491069,8036,731,10225,0.0423,0.080012646,6509.765,127792.3,50940.19749,115007.7,21700,0.0832,20159,0.0474,0.157748159,8767,0.05,0.068603507,,,,,,,81910,8.191,0.741666667,5.106504687,,352895,314672,38223,0.12146934,Democrat,0.05883288,1.154940174
Alabama,2003,Southeast,0,0.047976592,2169,0.2169,0.016218132,2911,0.01,0.021766244,23323,2.3323,0.174391652,9459,11849,3854,0.0142,0.02881728,4019,-0.0131,0.030051025,8627,0.0536,0.064506143,15281,-0.0628,0.114259693,8629,758,10318,0.0093,0.077150155,6416.351,133739.2,47976.59175,120241,22673,0.0973,21308,0.1149,0.159325015,9387,0.062,0.070188845,,,,,,,78810,7.881,0.058333333,5.126258721,,388542,350650,37892,0.10806217,Republican,0.056257987,1.17261324
Alabama,2004,Southeast,0,0.047898013,2475,0.2475,0.01689135,3005,0.0094,0.020508488,28004,2.8004,0.19112136,9982,12126,4255,0.0401,0.029039473,4425,0.0406,0.030199686,8694,0.0067,0.059334706,15526,0.0245,0.105961657,8998,825,10813,0.0495,0.073796432,7018.242,146524.7,47898.0131,128606.3,23932,0.1259,22108,0.08,0.150882411,9823,0.0436,0.067039892,,,,,,,81670,8.167,-0.408333333,5.165910841,,407512,369909,37603,0.101654731,Republican,0.053287089,1.112511473
Alabama,2005,Southeast,0,0.049843733,2618,0.2618,0.016785236,3137,0.0132,0.020112791,28977,2.8977,0.185785252,10709,12995,4534,0.0279,0.029069618,4923,0.0498,0.031563681,8977,0.0283,0.057555793,15531,0.0005,0.099576586,8972,803,11169,0.0356,0.071609741,7774.147,155970.4,49843.73317,136087.5,25303,0.1371,23704,0.1596,0.151977555,9775,-0.0048,0.062672148,,,,,,,80570,8.057,-1.116666667,5.193042186,,428018,388870,39148,0.100671175,Republican,0.05127581,1.028731335
Alabama,2006,Southeast,0,0.05205669,2195,0.2195,0.013396105,3000,-0.0137,0.018309027,30030,3.003,0.183273361,11016,13194,4794,0.026,0.029257825,5047,0.0124,0.030801887,8560,-0.0417,0.052241757,15987,0.0456,0.097568805,9399,825,11674,0.0505,0.071246527,8529.676,163853.6,52056.68963,144719,26245,0.0942,24210,0.0506,0.147753849,10224,0.0449,0.062397164,,,,,,,79030,7.903,-0.458333333,5.214455988,,434099,391181,42918,0.109713918,Republican,0.050836652,0.976563281
