geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Nevada,2001,Far West,0.0476488,210,0.021,0.00261108,3196,0.3196,0.0397381,3069,0.3069,0.038159,4320,7318,3364,0.3364,0.041827,2111,0.2111,0.0262475,5195,0.5195,0.0645931,12636,1.2636,0.1571122,4718,215,4536,0.4536,0.0563993,3832.227,80426.6,47648.75,68026.7,25744,2.5744,11638,1.1638,0.1447034,4933,0.4933,0.0613354,118715.5,9.0745,2,Swing,3.32189,0.6739,71350,7.135,5.191667,4.9054,4.907218,318542,284384,34158,0.1201122,Republican
Oregon,2000,Far West,0.0507058,2919,0.2919,0.02489376,377,0.0377,0.00321512,14095,1.4095,0.1202047,9318,8399,4481,0.4481,0.0382148,3816,0.3816,0.0325435,5281,0.5281,0.0450373,20103,2.0103,0.171442,6897,1025,9574,0.9574,0.0816488,5945.675,117258.3,50705.79,96913.7,23612,2.3612,17717,1.7717,0.1510938,7922,0.7922,0.0675602,,,,,,,68290,6.829,5.191667,5.069144,,285874,254098,31776,0.1250541,Democrat
Oregon,2005,Far West,0.0454027,3516,0.3516,0.02447401,441,0.0441,0.00306969,24393,2.4393,0.1697937,11424,9364,4845,0.4845,0.0337249,5005,0.5005,0.0348386,6395,0.6395,0.044514,21283,2.1283,0.1481457,7174,1225,11464,1.1464,0.0797981,6522.665,143662.6,45402.66,116073.4,28979,2.8979,20788,2.0788,0.1447002,8399,0.8399,0.0584634,,,,,,,63660,6.366,6.191667,5.157344,,428018,388870,39148,0.1006712,Democrat
Hawaii,2004,Far West,0.0715961,351,0.0351,0.0065288,78,0.0078,0.00145084,1266,0.1266,0.0235483,2221,4615,2234,0.2234,0.0415537,1400,0.14,0.0260408,2055,0.2055,0.0382242,10375,1.0375,0.1929809,2598,657,3671,0.3671,0.0682827,3849.135,53761.8,71596.09,43729.2,29259,2.9259,6836,0.6836,0.1271535,3255,0.3255,0.0605448,,,,,,,83420,8.342,3.291667,4.730474,,407512,369909,37603,0.1016547,Republican
Nevada,2010,Far West,0.0472173,264,0.0264,0.00213596,4843,0.4843,0.03918345,5074,0.5074,0.0410524,4559,7897,4848,0.4848,0.0392239,2986,0.2986,0.0241589,5260,0.526,0.0425573,18148,1.8148,0.1468307,5817,508,6504,0.6504,0.0526222,5835.963,123598.1,47217.25,100750.4,31625,3.1625,12456,1.2456,0.1007782,6325,0.6325,0.0511739,327326.6,9.515,14,Swing,3.43211,0.6741,66810,6.681,13.73333,5.092012,4.87601,608390,559569,48821,0.0872475,Republican
California,2005,Far West,0.0561244,24996,2.4996,0.01425194,10741,1.0741,0.00612418,200606,20.0606,0.1143793,110352,134472,44130,4.413,0.0251616,114730,11.473,0.0654155,92725,9.2725,0.0528689,317076,31.7076,0.1807869,142561,16014,99787,9.9787,0.0568954,98434.685,1753866,56124.4,1387884,31119,3.1119,244824,24.4824,0.139591,158575,15.8575,0.0904145,,,,,,,74610,7.461,5.383333,6.243997,,428018,388870,39148,0.1006712,Republican
Alaska,2007,Far West,0.0753165,397,0.0397,0.00810657,12216,1.2216,0.24944561,1549,0.1549,0.0316299,1184,1965,4680,0.468,0.0955636,1111,0.1111,0.0226862,989,0.0989,0.020195,3540,0.354,0.0722853,1482,131,2319,0.2319,0.047353,3688.447,48972.6,75316.55,29761.3,37656,3.7656,3149,0.3149,0.0643013,1613,0.1613,0.0329368,,,,,,,57660,5.766,6.258333,4.689953,,443797,397808,45989,0.115606,Republican
Oregon,2014,Far West,0.0511338,3240,0.324,0.01711169,217,0.0217,0.00114606,47419,4.7419,0.2504379,9710,9373,4735,0.4735,0.0250074,6184,0.6184,0.0326601,6961,0.6961,0.0367637,25358,2.5358,0.1339253,9188,1426,14319,1.4319,0.0756241,9681.898,189344.3,51133.82,165171.9,35437,3.5437,19083,1.9083,0.1007847,10614,1.0614,0.0560566,,,,,,,71220,7.122,6.641667,5.277252,,576978,517428,59550,0.1150885,Democrat
Hawaii,2010,Far West,0.0709396,358,0.0358,0.0052495,82,0.0082,0.0012024,1185,0.1185,0.0173762,2046,4527,2739,0.2739,0.0401631,2418,0.2418,0.0354562,2003,0.2003,0.0293708,13588,1.3588,0.1992466,2848,729,4211,0.4211,0.0617477,4837.862,68196.9,70939.62,56649.4,35173,3.5173,6573,0.6573,0.0963827,3577,0.3577,0.0524511,,,,,,,77700,7.77,6.825,4.833765,,608390,559569,48821,0.0872475,Republican
California,2013,Far West,0.0588589,25190,2.519,0.01113237,16719,1.6719,0.00738873,224736,22.4736,0.0993189,114163,122151,46667,4.6667,0.0206238,175911,17.5911,0.0777414,91706,9.1706,0.0405282,355067,35.5067,0.1569169,175645,19683,129416,12.9416,0.0571936,133184.25,2262771,58858.91,1840885,37970,3.797,236314,23.6314,0.1044357,195328,19.5328,0.0863225,,,,,,,74580,7.458,9.033334,6.35464,,546178,486781,59397,0.12202,Democrat
