geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Ohio,2009,Great Lakes,0.0498,3281,0.3281,0.00683083,3322,0.3322,0.00691619,75990,7.599,0.1582064,29178,29883,14382,1.4382,0.0299424,17413,1.7413,0.0362528,39325,3.9325,0.0818722,54771,5.4771,0.1140298,25884,4656,42383,4.2383,0.0882387,23920.056,480322,49800.04,410350.4,29795,2.9795,59061,5.9061,0.1229613,30540,3.054,0.0635823,1890578,10.2766,16,Swing,4.06179,0.6651,60690,6.069,10.14167,5.681532,5.418341,537991,484480,53511,0.1104504,Democrat
Indiana,2003,Great Lakes,0.0501865,2536,0.2536,0.011347,1930,0.193,0.00863553,71394,7.1394,0.319443,15010,16820,8070,0.807,0.0361081,4822,0.4822,0.0215754,12399,1.2399,0.0554777,24890,2.489,0.111367,8901,2137,18434,1.8434,0.0824805,11216.456,223495.3,50186.54,182458,24145,2.4145,31830,3.183,0.1424191,11038,1.1038,0.0493881,,,,,,,64500,6.45,5.275,5.349268,,388542,350650,37892,0.1080622,Democrat
Illinois,2004,Great Lakes,0.0424334,4080,0.408,0.00730203,2575,0.2575,0.00460851,87439,8.7439,0.1564908,45499,36364,21954,2.1954,0.0392914,21076,2.1076,0.03772,53314,5.3314,0.0954168,76548,7.6548,0.1369991,46988,7376,40058,4.0058,0.0716924,23709.618,558748.4,42433.44,457834.3,28884,2.8884,81863,8.1863,0.1465114,54364,5.4364,0.097296,,,,,,,68340,6.834,6.175,5.747216,,407512,369909,37603,0.1016547,Democrat
Ohio,2011,Great Lakes,0.0476184,3264,0.3264,0.00621255,3117,0.3117,0.00593275,87186,8.7186,0.1659458,29971,30851,15713,1.5713,0.0299074,21235,2.1235,0.0404177,40448,4.0448,0.0769869,58515,5.8515,0.1113747,27232,4648,42888,4.2888,0.081631,25018.133,525388.4,47618.36,449923.8,31961,3.1961,60822,6.0822,0.1157658,31880,3.188,0.0606789,2330145,10.3674,9,Swing,4.06238,0.6654,56510,5.651,8.816667,5.72048,5.419424,606770,552210,54560,0.098803,Republican
Wisconsin,2011,Great Lakes,0.0581599,3746,0.3746,0.01419576,455,0.0455,0.00172426,50394,5.0394,0.190972,14383,14758,7680,0.768,0.029104,8532,0.8532,0.0323327,17568,1.7568,0.0665753,33471,3.3471,0.126841,10516,2518,22422,2.2422,0.0849699,15347.327,263881.6,58159.9,234631.6,33535,3.3535,29141,2.9141,0.1104321,13034,1.3034,0.0493934,1030064,10.0129,9,Swing,3.75628,0.6693,65890,6.589,7.533333,5.421409,5.375923,606770,552210,54560,0.098803,Democrat
Indiana,2003,Great Lakes,0.0501865,2536,0.2536,0.011347,1930,0.193,0.00863553,71394,7.1394,0.319443,15010,16820,8070,0.807,0.0361081,4822,0.4822,0.0215754,12399,1.2399,0.0554777,24890,2.489,0.111367,8901,2137,18434,1.8434,0.0824805,11216.456,223495.3,50186.54,182458,24145,2.4145,31830,3.183,0.1424191,11038,1.1038,0.0493881,,,,,,,64500,6.45,5.275,5.349268,,388542,350650,37892,0.1080622,Democrat
Wisconsin,2003,Great Lakes,0.059516,3064,0.3064,0.01508359,738,0.0738,0.00363306,48090,4.809,0.2367395,14259,16408,7353,0.7353,0.0361977,5936,0.5936,0.029222,14039,1.4039,0.0691118,26934,2.6934,0.1325918,9496,2076,19214,1.9214,0.0945875,12089.77,203134.7,59516.03,175794.3,26184,2.6184,30667,3.0667,0.1509688,11572,1.1572,0.0569671,598465.8,9.777,3,Swing,3.73872,0.667,70350,7.035,5.616667,5.307784,5.368257,388542,350650,37892,0.1080622,Republican
Wisconsin,2009,Great Lakes,0.0588389,2837,0.2837,0.01155417,522,0.0522,0.00212593,45014,4.5014,0.1833273,14216,14578,6804,0.6804,0.0277105,8354,0.8354,0.0340231,17544,1.7544,0.071451,31503,3.1503,0.1283014,10497,2424,22340,2.234,0.0909835,14447.245,245539,58838.9,216211.9,31480,3.148,28794,2.8794,0.1172685,12921,1.2921,0.052623,868073,9.9386,16,Swing,3.75353,0.67,67780,6.778,8.958333,5.390121,5.364108,537991,484480,53511,0.1104504,Democrat
Wisconsin,2011,Great Lakes,0.0581599,3746,0.3746,0.01419576,455,0.0455,0.00172426,50394,5.0394,0.190972,14383,14758,7680,0.768,0.029104,8532,0.8532,0.0323327,17568,1.7568,0.0665753,33471,3.3471,0.126841,10516,2518,22422,2.2422,0.0849699,15347.327,263881.6,58159.9,234631.6,33535,3.3535,29141,2.9141,0.1104321,13034,1.3034,0.0493934,1030064,10.0129,9,Swing,3.75628,0.6693,65890,6.589,7.533333,5.421409,5.375923,606770,552210,54560,0.098803,Republican
Illinois,2005,Great Lakes,0.0450178,2379,0.2379,0.00405493,2391,0.2391,0.00407538,86513,8.6513,0.1474585,48230,37205,22911,2.2911,0.039051,22591,2.2591,0.0385056,55884,5.5884,0.0952524,79464,7.9464,0.1354437,48200,7351,41236,4.1236,0.0702854,26411.689,586693.9,45017.84,475646.2,30453,3.0453,85435,8.5435,0.1456211,55551,5.5551,0.0946848,,,,,,,69770,6.977,5.716667,5.768412,,428018,388870,39148,0.1006712,Democrat
