geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Maine,2005,New England,0.0700945,820,0.082,0.01787474,13,0.0013,0.00028338,5599,0.5599,0.1220496,2917,4793,1158,0.1158,0.0252426,1296,0.1296,0.0282508,2689,0.2689,0.0586161,6743,0.6743,0.146987,2402,585,5543,0.5543,0.1208289,3215.57,45874.8,70094.48,43103.5,30997,3.0997,7710,0.771,0.1680661,2987,0.2987,0.065112,,,,,,,63320,6.332,4.891667,4.661574,,428018,388870,39148,0.1006712,Democrat
Vermont,2015,New England,0.0990967,344,0.0344,0.01120196,163,0.0163,0.00530791,2514,0.2514,0.0818655,1390,2124,436,0.0436,0.0141978,828,0.0828,0.0269629,1515,0.1515,0.0493342,3790,0.379,0.123417,1734,584,2878,0.2878,0.0937188,3043.152,30708.9,99096.74,30598,43236,4.3236,3514,0.3514,0.1144294,2318,0.2318,0.075483,,,,,,,72020,7.202,3.533333,4.487264,,624357,567054,57303,0.1010539,Democrat
New Hampshire,2000,New England,0.0375028,162,0.0162,0.00358205,75,0.0075,0.00165836,6690,0.669,0.1479254,3489,5419,1016,0.1016,0.0224652,1333,0.1333,0.0294745,2937,0.2937,0.0649412,7055,0.7055,0.1559961,3384,988,3963,0.3963,0.0876276,1696.085,45225.5,37502.85,43796.1,27887,2.7887,8908,0.8908,0.1969685,4372,0.4372,0.0966711,,,,,,,81830,8.183,2.65,4.655384,,285874,254098,31776,0.1250541,Democrat
New Hampshire,2013,New England,0.03348,155,0.0155,0.00220855,46,0.0046,0.00065544,7794,0.7794,0.1110543,4062,5271,971,0.0971,0.0138355,2661,0.2661,0.0379158,4547,0.4547,0.0647888,9659,0.9659,0.1376281,4219,1235,5753,0.5753,0.0819727,2349.692,70181.9,33480.03,67121.8,43632,4.3632,9333,0.9333,0.132983,5454,0.5454,0.0777123,,,,,,,84770,8.477,5.25,4.846225,,546178,486781,59397,0.12202,Democrat
Connecticut,2017,New England,0.0609276,396.7,0.03967,0.00144847,157.7,0.01577,0.00057581,28374.3,2.83743,0.1036031,14667.3,14634.2,5580.6,0.55806,0.0203764,14113.9,1.41139,0.0515341,46917.1,4.69171,0.1713084,35023.1,3.50231,0.1278798,18522.1,6067.8,21588.3,2.15883,0.0788253,16686.545,273875.1,60927.57,249451.1,49084,4.9084,29301.5,2.93015,0.1069885,24589.9,2.45899,0.0897851,,,,,,,87620,8.762,4.416667,5.437552,,674712,613125,61587,0.1004477,Democrat
Connecticut,2015,New England,0.0623204,244,0.0244,0.00093955,175,0.0175,0.00067386,23705,2.3705,0.0912791,14993,12937,3731,0.3731,0.0143667,11891,1.1891,0.0457878,26231,2.6231,0.1010058,34354,3.4354,0.1322845,15456,4387,18716,1.8716,0.0720684,16184.49,259697.9,62320.45,239184.9,46696,4.6696,27930,2.793,0.107548,19843,1.9843,0.076408,,,,,,,88230,8.823,5.616667,5.414468,,624357,567054,57303,0.1010539,Democrat
New Hampshire,2004,New England,0.0370499,175,0.0175,0.00323316,98,0.0098,0.00181057,6785,0.6785,0.125354,3955,5976,1011,0.1011,0.0186784,2061,0.2061,0.0380773,3300,0.33,0.0609681,8582,0.8582,0.1585539,3689,1240,4715,0.4715,0.0871104,2005.389,54126.7,37049.9,50733,33900,3.39,9931,0.9931,0.1834769,4929,0.4929,0.0910641,,,,,,,84270,8.427,3.8,4.733411,,407512,369909,37603,0.1016547,Republican
Vermont,2003,New England,0.0737674,289,0.0289,0.01367717,208,0.0208,0.00984378,2817,0.2817,0.1333169,1357,2055,483,0.0483,0.0228584,629,0.0629,0.029768,1227,0.1227,0.0580688,2893,0.2893,0.1369137,1490,558,2253,0.2253,0.1066251,1558.712,21130.1,73767.38,19945.8,29590,2.959,3412,0.3412,0.1614758,2048,0.2048,0.0969233,,,,,,,65770,6.577,4.383333,4.324902,,388542,350650,37892,0.1080622,Democrat
Maine,2006,New England,0.0750938,884,0.0884,0.01844699,13,0.0013,0.00027128,5668,0.5668,0.1182778,2997,4753,1284,0.1284,0.026794,1295,0.1295,0.0270236,2648,0.2648,0.0552575,6840,0.684,0.1427346,2413,605,5816,0.5816,0.1213662,3598.579,47921.1,75093.83,45226,32245,3.2245,7750,0.775,0.1617242,3018,0.3018,0.0629785,,,,,,,63940,6.394,4.716667,4.680527,,434099,391181,42918,0.1097139,Democrat
Vermont,2011,New England,0.0955364,323,0.0323,0.01148032,201,0.0201,0.0071441,3202,0.3202,0.113808,1304,2030,525,0.0525,0.01866,844,0.0844,0.0299981,1256,0.1256,0.0446417,3970,0.397,0.1411049,1644,584,2646,0.2646,0.0940462,2687.926,28135.1,95536.39,27547.8,39856,3.9856,3334,0.3334,0.1184997,2228,0.2228,0.0791893,,,,,,,65640,6.564,5.566667,4.449248,,606770,552210,54560,0.098803,Democrat
Vermont,2011,New England,0.0955364,323,0.0323,0.01148032,201,0.0201,0.0071441,3202,0.3202,0.113808,1304,2030,525,0.0525,0.01866,844,0.0844,0.0299981,1256,0.1256,0.0446417,3970,0.397,0.1411049,1644,584,2646,0.2646,0.0940462,2687.926,28135.1,95536.39,27547.8,39856,3.9856,3334,0.3334,0.1184997,2228,0.2228,0.0791893,,,,,,,65640,6.564,5.566667,4.449248,,606770,552210,54560,0.098803,Republican
Maine,2019,New England,0.07045,914.4,0.09144,0.01378121,37.1,0.00371,0.00055915,6271.5,0.62715,0.0945198,3425,5741.1,1404.4,0.14044,0.0211662,1328,0.1328,0.0200147,4342.8,0.43428,0.0654517,9877.1,0.98771,0.1488609,3883.2,1108,7864.8,0.78648,0.1185329,4674.441,66351.2,70449.98,67842.2,46310,4.631,9166.1,0.91661,0.1381452,4991.2,0.49912,0.075224,,,,,,,75800,7.58,2.941667,4.821849,,749554,685729,63825,0.0930761,Republican
Vermont,2016,New England,0.0985446,418.1,0.04181,0.0132165,241.4,0.02414,0.00763086,2922.2,0.29222,0.0923732,1647.6,2326.7,510.5,0.05105,0.0161373,913.6,0.09136,0.0288797,1719.2,0.17192,0.0543454,4589.3,0.45893,0.1450717,1991.6,952.6,3399.9,0.33999,0.1074738,3117.428,31634.7,98544.57,31073.3,43655,4.3655,3974.3,0.39743,0.125631,2944.2,0.29442,0.0930687,,,,,,,73000,7.3,3.125,4.500164,,660833,599787,61046,0.1017795,Democrat
Rhode Island,2014,New England,0.0545035,81,0.0081,0.00148424,41,0.0041,0.00075128,4079,0.4079,0.0747435,2860,2805,741,0.0741,0.0135781,1645,0.1645,0.0301429,4394,0.4394,0.0805156,7623,0.7623,0.1396837,2672,1408,5029,0.5029,0.0921513,2974.435,54573.3,54503.48,50045.1,38081,3.8081,5665,0.5665,0.1038053,4080,0.408,0.0747618,263067.8,9.4201,12,Democratic,3.02364,0.6779,70920,7.092,7.766667,4.73698,4.105919,576978,517428,59550,0.1150885,Democrat
