geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
South Dakota,2018,Plains,0.0369201,3863.8,0.38638,0.07439283,99.7,0.00997,0.0019196,4436.6,0.44366,0.0854214,3456.9,3781.4,1270.6,0.12706,0.0244639,1290.6,0.12906,0.024849,9030.8,0.90308,0.1738772,4432.8,0.44328,0.0853482,1636.9,365.4,5048.6,0.50486,0.0972047,1917.548,51937.8,36920.09,45144,40368,4.0368,7238.3,0.72383,0.1393648,2002.3,0.20023,0.0385519,,,,,,,68730,6.873,2.791667,4.715484,,696507,634179,62328,0.0982814,Republican
Iowa,2016,Plains,0.0530361,7574.9,0.75749,0.04200097,262.7,0.02627,0.00145661,31423.6,3.14236,0.1742362,10755.6,9530.6,5667.7,0.56677,0.031426,4614.8,0.46148,0.0255879,26459.9,2.64599,0.1467137,17964.9,1.79649,0.099611,5898.4,1848.9,11879.7,1.18797,0.06587,9565.099,180350.6,53036.14,143839.9,35631,3.5631,20286.2,2.02862,0.112482,7747.3,0.77473,0.0429569,,,9,Swing,3.49573,,70900,7.09,3.575,5.256118,5.371655,660833,599787,61046,0.1017795,Republican
Kansas,2006,Plains,0.055704,2720,0.272,0.02414552,1598,0.1598,0.01418549,20619,2.0619,0.1830355,8260,8238,4764,0.4764,0.0422902,7391,0.7391,0.0656101,5357,0.5357,0.0475542,10514,1.0514,0.0933331,5223,671,8632,0.8632,0.0766265,6275.075,112650.3,55704.02,97838.9,29408,2.9408,16498,1.6498,0.1464532,5894,0.5894,0.0523212,304206,9.4832,3,Republican,3.44137,0.6595,63810,6.381,4.425,5.051733,5.456384,434099,391181,42918,0.1097139,Democrat
Minnesota,2009,Plains,0.0660155,4895,0.4895,0.01882991,1129,0.1129,0.004343,35428,3.5428,0.1362832,17525,14181,7267,0.7267,0.0279544,10680,1.068,0.0410834,20082,2.0082,0.0772507,31995,3.1995,0.1230772,15543,2702,24023,2.4023,0.0924108,17161.299,259958.7,66015.48,216335.4,35010,3.501,31706,3.1706,0.1219655,18245,1.8245,0.0701842,,,,,,,74200,7.42,7.908333,5.414904,,537991,484480,53511,0.1104504,Republican
Kansas,2007,Plains,0.0562938,2531,0.2531,0.0206691,1618,0.1618,0.0132132,23104,2.3104,0.188676,8552,8142,4666,0.4666,0.0381043,8365,0.8365,0.0683118,5923,0.5923,0.0483695,11348,1.1348,0.0926721,5513,710,8756,0.8756,0.0715048,6893.359,122453.3,56293.78,105082.6,30830,3.083,16694,1.6694,0.1363295,6223,0.6223,0.0508194,309134.5,9.4901,7,Republican,3.44464,0.6588,66240,6.624,4.233333,5.08797,5.456153,443797,397808,45989,0.115606,Democrat
Minnesota,2000,Plains,0.0702158,2556,0.2556,0.01345512,1734,0.1734,0.00912801,30915,3.0915,0.1627407,15190,14139,8305,0.8305,0.0437186,6247,0.6247,0.032885,17359,1.7359,0.0913801,26793,2.6793,0.1410419,13827,2049,17719,1.7719,0.0932752,13338.532,189964.8,70215.8,159595.4,26969,2.6969,29329,2.9329,0.1543918,15876,1.5876,0.0835734,,,,,,,87170,8.717,3.033333,5.278673,,285874,254098,31776,0.1250541,Independent
North Dakota,2007,Plains,0.0621691,1883,0.1883,0.0656562,976,0.0976,0.03403104,2908,0.2908,0.1013958,2318,1976,1267,0.1267,0.0441776,1269,0.1269,0.0442473,1432,0.1432,0.0499308,2833,0.2833,0.0987807,871,108,2435,0.2435,0.0849033,1782.99,28679.7,62169.06,23828.8,31270,3.127,4294,0.4294,0.1497226,979,0.0979,0.0341356,104966.3,9.0211,5,Republican,2.81479,0.6706,64470,6.447,3.016667,4.457574,5.245421,443797,397808,45989,0.115606,Republican
Nebraska,2005,Plains,0.0513332,3783,0.3783,0.05114996,181,0.0181,0.0024473,9275,0.9275,0.1254073,5107,5309,6806,0.6806,0.092024,2570,0.257,0.034749,6560,0.656,0.0886978,7336,0.7336,0.0991901,3399,717,6032,0.6032,0.0815587,3796.551,73959,51333.18,60598.1,28226,2.8226,10416,1.0416,0.1408348,4116,0.4116,0.0556525,213362.9,9.3291,1,Republican,3.24588,0.6574,69080,6.908,3.758333,4.868991,5.277502,428018,388870,39148,0.1006712,Republican
South Dakota,2011,Plains,0.033221,3563,0.3563,0.08576965,149,0.0149,0.00358677,3912,0.3912,0.0941709,2361,2888,967,0.0967,0.0232779,1003,0.1003,0.0241445,5811,0.5811,0.1398842,3742,0.3742,0.0900786,1136,255,3342,0.3342,0.0804497,1380.051,41541.5,33221.02,36655,32751,3.2751,5249,0.5249,0.1263556,1391,0.1391,0.0334846,,,,,,,59770,5.977,4.6,4.618482,,606770,552210,54560,0.098803,Republican
Iowa,2000,Plains,0.0557398,3238,0.3238,0.0348065,492,0.0492,0.0052887,23068,2.3068,0.2479668,6439,7441,3853,0.3853,0.0414174,2758,0.2758,0.0296468,11027,1.1027,0.1185334,11355,1.1355,0.1220592,3302,1064,8192,0.8192,0.0880589,5185.394,93028.6,55739.79,80082.6,21604,2.1604,13880,1.388,0.1492014,4366,0.4366,0.0469318,,,11,Swing,3.46673,0.6459,65870,6.587,2.683333,4.968616,5.367208,285874,254098,31776,0.1250541,Democrat
