geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Alabama,2014,Southeast,0.0479071,2111,0.2111,0.0108781,2668,0.2668,0.01374835,30963,3.0963,0.159554,10107,12968,4695,0.4695,0.0241936,4370,0.437,0.0225188,8449,0.8449,0.0435381,19331,1.9331,0.0996137,10116,903,12789,1.2789,0.0659024,9296.846,194059.7,47907.14,179487.1,30365,3.0365,23075,2.3075,0.1189067,11019,1.1019,0.0567815,,,,,,,81800,8.18,6.733333,5.287935,,576978,517428,59550,0.1150885,Republican
Virginia,2006,Southeast,0.0456001,1448,0.1448,0.00381928,2878,0.2878,0.00759108,38616,3.8616,0.1018544,18543,23249,10694,1.0694,0.0282067,19602,1.9602,0.0517027,18292,1.8292,0.0482474,53973,5.3973,0.1423604,44749,3264,21269,2.1269,0.0560996,17288.324,379129.4,45600.06,323553.8,33267,3.3267,41792,4.1792,0.1102315,48013,4.8013,0.1266401,,,,,,,80020,8.002,3.341667,5.578787,,434099,391181,42918,0.1097139,Democrat
Alabama,2003,Southeast,0.0479766,2169,0.2169,0.01621813,2911,0.2911,0.02176624,23323,2.3323,0.1743917,9459,11849,3854,0.3854,0.0288173,4019,0.4019,0.030051,8627,0.8627,0.0645061,15281,1.5281,0.1142597,8629,758,10318,1.0318,0.0771502,6416.351,133739.2,47976.59,120241,22673,2.2673,21308,2.1308,0.159325,9387,0.9387,0.0701888,,,,,,,78810,7.881,5.983333,5.126259,,388542,350650,37892,0.1080622,Republican
South Carolina,2012,Southeast,0.0459738,887,0.0887,0.00505774,199,0.0199,0.00113471,28576,2.8576,0.1629425,9215,11890,3843,0.3843,0.0219131,4235,0.4235,0.0241483,7162,0.7162,0.0408382,21163,2.1163,0.120673,8336,1159,10941,1.0941,0.0623864,8062.639,175374.8,45973.76,168271.2,31114,3.1114,21105,2.1105,0.1203423,9495,0.9495,0.0541412,,,,,,,55130,5.513,9.033334,5.243967,,544573,488543,56030,0.114688,Republican
Virginia,2013,Southeast,0.0421624,1235,0.1235,0.00271387,1734,0.1734,0.0038104,39734,3.9734,0.087314,17544,22215,10116,1.0116,0.0222295,15736,1.5736,0.0345793,18594,1.8594,0.0408596,60594,6.0594,0.1331531,55437,3516,25567,2.5567,0.0561826,19186.853,455070,42162.42,398579.8,37935,3.7935,39759,3.9759,0.087369,58953,5.8953,0.1295471,,,,,,,80850,8.085,5.55,5.658078,,546178,486781,59397,0.12202,Republican
Mississippi,2017,Southeast,0.0700447,2591.7,0.25917,0.02350079,862.8,0.08628,0.00782362,16396.9,1.63969,0.1486824,5836.3,9310.3,4148.9,0.41489,0.037621,2396.9,0.23969,0.0217344,5149,0.5149,0.0466896,12059.1,1.20591,0.1093484,3546.6,839.6,8621.9,0.86219,0.0781809,7724.629,110281.4,70044.71,109132.8,30952,3.0952,15146.6,1.51466,0.137345,4386.2,0.43862,0.0397728,,,,,,,51030,5.103,5.233333,5.042502,,674712,613125,61587,0.1004477,Republican
Georgia,2009,Southeast,0.0395012,3650,0.365,0.00896752,1262,0.1262,0.00310055,45010,4.501,0.110583,30736,23852,15027,1.5027,0.0369192,31142,3.1142,0.0765114,28573,2.8573,0.0701997,48136,4.8136,0.1182631,26164,4400,25212,2.5212,0.0619422,16077.948,407024.5,39501.18,329158.9,28587,2.8587,54588,5.4588,0.1341148,30564,3.0564,0.0750913,,,,,,,57330,5.733,10.40833,5.609621,,537991,484480,53511,0.1104504,Republican
Arkansas,2005,Southeast,0.0729686,2862,0.2862,0.0319384,725,0.0725,0.00809062,18834,1.8834,0.2101774,7256,7188,4806,0.4806,0.0536324,3952,0.3952,0.0441022,3566,0.3566,0.0397947,8475,0.8475,0.0945765,3381,434,7129,0.7129,0.0795559,6538.72,89610,72968.64,77990.4,23574,2.3574,14444,1.4444,0.1611874,3815,0.3815,0.0425734,,,,,,,65220,6.522,5.258333,4.952356,,428018,388870,39148,0.1006712,Republican
Florida,2000,Southeast,0.0507004,6053,0.6053,0.01236598,1681,0.1681,0.0034342,31379,3.1379,0.0641057,40468,46244,17410,1.741,0.0355678,24830,2.483,0.0507265,28933,2.8933,0.0591087,91964,9.1964,0.1878779,39060,4452,43828,4.3828,0.0895384,24817.263,489488.1,50700.44,471588.1,25688,2.5688,86712,8.6712,0.1771483,43512,4.3512,0.0888929,,,9,Swing,4.20541,,62440,6.244,3.758333,5.689742,5.403718,285874,254098,31776,0.1250541,Republican
West Virginia,2001,Southeast,0.0778322,254,0.0254,0.00577567,7856,0.7856,0.1786364,6515,0.6515,0.1481436,2663,4286,1667,0.1667,0.0379057,1049,0.1049,0.0238531,1914,0.1914,0.0435222,5165,0.5165,0.1174462,2147,318,4867,0.4867,0.11067,3422.875,43977.6,77832.23,42750.3,20210,2.021,6949,0.6949,0.1580123,2465,0.2465,0.0560513,,,,,,,46630,4.663,5.391667,4.643231,,318542,284384,34158,0.1201122,Republican
Georgia,2001,Southeast,0.0450772,3203,0.3203,0.01004853,2724,0.2724,0.0085458,50198,5.0198,0.1574824,29859,24276,12729,1.2729,0.0399337,21902,2.1902,0.0687115,22982,2.2982,0.0720997,44775,4.4775,0.1404693,21744,3320,18861,1.8861,0.0591712,14368.505,318753,45077.24,248742.5,23600,2.36,54135,5.4135,0.1698337,25064,2.5064,0.0786314,,,,,,,66910,6.691,4.091667,5.503454,,318542,284384,34158,0.1201122,Democrat
Virginia,2004,Southeast,0.0428383,1373,0.1373,0.00413242,2813,0.2813,0.0084665,37368,3.7368,0.1124693,17158,22402,8964,0.8964,0.0269796,18970,1.897,0.0570955,13217,1.3217,0.0397802,48001,4.8001,0.1444723,38585,3105,19346,1.9346,0.0582271,14233.065,332250.6,42838.34,284687.3,29888,2.9888,39560,3.956,0.1190668,41690,4.169,0.1254776,,,,,,,75860,7.586,4.083333,5.521466,,407512,369909,37603,0.1016547,Democrat
Florida,2007,Southeast,0.0505017,5101,0.5101,0.00663621,1834,0.1834,0.00238597,44291,4.4291,0.057621,57576,59140,22433,2.2433,0.0291845,32599,3.2599,0.0424101,39715,3.9715,0.0516678,134631,13.4631,0.17515,51715,6662,57386,5.7386,0.0746571,38818.707,768661,50501.73,719734.2,34302,3.4302,116716,11.6716,0.1518433,58377,5.8377,0.0759464,,,5,Swing,4.26406,,62550,6.255,3.3,5.885735,5.427363,443797,397808,45989,0.115606,Republican
North Carolina,2003,Southeast,0.0131329,2857,0.2857,0.00923644,1200,0.12,0.0038795,76347,7.6347,0.2468235,19982,21805,8247,0.8247,0.0266619,9779,0.9779,0.0316147,26670,2.667,0.0862219,35051,3.5051,0.113317,16020,3168,22327,2.2327,0.0721813,4062.25,309318.2,13132.92,241805.1,24167,2.4167,41787,4.1787,0.1350939,19188,1.9188,0.0620332,,,,,,,56680,5.668,6.716667,5.490406,,388542,350650,37892,0.1080622,Democrat
South Carolina,2013,Southeast,0.0483191,1021,0.1021,0.00557878,218,0.0218,0.00119116,28406,2.8406,0.1552114,9548,12322,3904,0.3904,0.0213316,4569,0.4569,0.0249652,7057,0.7057,0.0385597,21968,2.1968,0.1200339,8438,1135,11239,1.1239,0.0614103,8843.108,183014.9,48319.06,170204.8,31960,3.196,21870,2.187,0.1194985,9573,0.9573,0.0523072,,,,,,,53440,5.344,7.425,5.262486,,546178,486781,59397,0.12202,Republican
Virginia,2014,Southeast,0.0408175,1357,0.1357,0.00292595,1912,0.1912,0.00412263,38444,3.8444,0.0828924,17843,22425,10151,1.0151,0.0218875,16292,1.6292,0.0351286,19097,1.9097,0.0411767,61538,6.1538,0.1326874,54350,3424,26031,2.6031,0.0561277,18930.418,463781.7,40817.52,414710.1,38807,3.8807,40268,4.0268,0.0868253,57774,5.7774,0.1245715,,,,,,,80020,8.002,5.116667,5.666314,,576978,517428,59550,0.1150885,Democrat
Virginia,2006,Southeast,0.0456001,1448,0.1448,0.00381928,2878,0.2878,0.00759108,38616,3.8616,0.1018544,18543,23249,10694,1.0694,0.0282067,19602,1.9602,0.0517027,18292,1.8292,0.0482474,53973,5.3973,0.1423604,44749,3264,21269,2.1269,0.0560996,17288.324,379129.4,45600.06,323553.8,33267,3.3267,41792,4.1792,0.1102315,48013,4.8013,0.1266401,,,,,,,80020,8.002,3.341667,5.578787,,434099,391181,42918,0.1097139,Democrat
Louisiana,2002,Southeast,0.0527236,1104,0.1104,0.00791183,24350,2.435,0.17450456,32209,3.2209,0.2308262,8914,11426,5057,0.5057,0.0362411,3153,0.3153,0.022596,6034,0.6034,0.0432427,16326,1.6326,0.1170005,7772,1513,11152,1.1152,0.0799209,7356.936,139537.9,52723.57,118194.3,20937,2.0937,20340,2.034,0.1457669,9285,0.9285,0.0665411,,,,,,,52780,5.278,5.991667,5.144692,,352895,314672,38223,0.1214693,Republican
Georgia,2019,Southeast,0.039825,3830.7,0.38307,0.00617066,1283.7,0.12837,0.00206784,59331.3,5.93313,0.0955735,43903.4,36072.3,24025.4,2.40254,0.0387012,52676.6,5.26766,0.0848538,47487.7,4.74877,0.0764953,88265.3,8.82653,0.1421817,42916.5,6698.7,40001.5,4.00015,0.0644362,24723.046,620792.4,39824.98,516552.1,39074,3.9074,79975.7,7.99757,0.1288284,49615.2,4.96152,0.0799224,,,,,,,64500,6.45,3.575,5.792946,,749554,685729,63825,0.0930761,Republican
South Carolina,2003,Southeast,0.0487436,1109,0.1109,0.00850869,504,0.0504,0.00386689,30211,3.0211,0.2317907,8399,11961,3511,0.3511,0.0269378,3037,0.3037,0.0233011,5840,0.584,0.0448068,16650,1.665,0.1277454,6267,908,8584,0.8584,0.0658598,6353.115,130337.4,48743.61,111196.7,23526,2.3526,20360,2.036,0.15621,7175,0.7175,0.0550494,,,,,,,58500,5.85,7.191667,5.115069,,388542,350650,37892,0.1080622,Republican
Virginia,2015,Southeast,0.0423766,1441,0.1441,0.00297341,1713,0.1713,0.00353467,37036,3.7036,0.0764215,18366,23033,10208,1.0208,0.0210636,17797,1.7797,0.036723,19210,1.921,0.0396386,63420,6.342,0.1308632,56765,3401,27201,2.7201,0.0561276,20536.885,484628.2,42376.58,433088.2,39389,3.9389,41399,4.1399,0.0854243,60166,6.0166,0.1241488,,,,,,,74430,7.443,4.366667,5.685409,,624357,567054,57303,0.1010539,Democrat
Virginia,2008,Southeast,0.0459183,1060,0.106,0.00265643,2765,0.2765,0.00692927,35806,3.5806,0.0897321,18623,21301,9874,0.9874,0.0247449,20615,2.0615,0.0516625,15895,1.5895,0.0398339,56169,5.6169,0.1407631,50648,3671,23307,2.3307,0.0584088,18322.873,399032.1,45918.29,355506.4,35537,3.5537,39924,3.9924,0.1000521,54319,5.4319,0.1361269,,,,,,,81670,8.167,4.275,5.601008,,461317,411142,50175,0.1220381,Democrat
Florida,2005,Southeast,0.0486479,6055,0.6055,0.00869046,1718,0.1718,0.00246576,37904,3.7904,0.0544018,54563,60852,19839,1.9839,0.028474,32870,3.287,0.0471768,37187,3.7187,0.0533728,126289,12.6289,0.1812567,52370,5974,53813,5.3813,0.0772353,33894.971,696741.1,48647.87,637602.8,31222,3.1222,115415,11.5415,0.1656498,58344,5.8344,0.0837384,0,,1,Swing,4.25144,,61970,6.197,2.875,5.843071,5.417669,428018,388870,39148,0.1006712,Republican
Mississippi,2004,Southeast,0.0663701,2243,0.2243,0.02904899,1205,0.1205,0.0156059,13558,1.3558,0.175589,4829,7405,2970,0.297,0.0384643,1680,0.168,0.0217576,3297,0.3297,0.0426993,7548,0.7548,0.0977538,2931,556,6168,0.6168,0.0798815,5124.73,77214.4,66370.13,73054.9,21252,2.1252,12234,1.2234,0.1584419,3487,0.3487,0.04516,,,,,,,51550,5.155,6.158333,4.887698,,407512,369909,37603,0.1016547,Republican
Georgia,2002,Southeast,0.0421257,2624,0.2624,0.00802619,2773,0.2773,0.00848195,49214,4.9214,0.1505339,29430,24777,12597,1.2597,0.0385312,23615,2.3615,0.0722327,22240,2.224,0.0680269,45232,4.5232,0.1383539,22299,3376,19740,1.974,0.06038,13772.147,326929.6,42125.73,255977.2,24126,2.4126,54207,5.4207,0.1658063,25675,2.5675,0.0785337,,,,,,,66650,6.665,5.308333,5.514454,,352895,314672,38223,0.1214693,Democrat
North Carolina,2001,Southeast,0.0136542,4067,0.4067,0.01408809,1369,0.1369,0.00474222,77672,7.7672,0.2690559,17908,20518,7874,0.7874,0.0272755,8021,0.8021,0.0277848,21018,2.1018,0.0728064,36049,3.6049,0.1248738,15469,2915,20557,2.0557,0.0712095,3941.75,288683.5,13654.23,228090.9,22948,2.2948,38426,3.8426,0.1331077,18384,1.8384,0.0636822,,,,,,,59970,5.997,5.625,5.460422,,318542,284384,34158,0.1201122,Democrat
Florida,2007,Southeast,0.0505017,5101,0.5101,0.00663621,1834,0.1834,0.00238597,44291,4.4291,0.057621,57576,59140,22433,2.2433,0.0291845,32599,3.2599,0.0424101,39715,3.9715,0.0516678,134631,13.4631,0.17515,51715,6662,57386,5.7386,0.0746571,38818.707,768661,50501.73,719734.2,34302,3.4302,116716,11.6716,0.1518433,58377,5.8377,0.0759464,,,5,Swing,4.26406,,62550,6.255,3.3,5.885735,5.427363,443797,397808,45989,0.115606,Republican
Arkansas,2003,Southeast,0.0657841,2686,0.2686,0.03433957,632,0.0632,0.0080799,17465,1.7465,0.2232839,6187,6659,4339,0.4339,0.0554726,2971,0.2971,0.0379832,3359,0.3359,0.0429436,8302,0.8302,0.1061382,3138,429,6680,0.668,0.0854015,5145.554,78218.8,65784.11,69656.4,21208,2.1208,12846,1.2846,0.1642316,3567,0.3567,0.0456028,,,,,,,62590,6.259,5.758333,4.893311,,388542,350650,37892,0.1080622,Republican
Kentucky,2016,Southeast,0.0603797,2482.9,0.24829,0.0127276,1889.6,0.18896,0.00968628,35203.8,3.52038,0.1804583,13298.6,11583,9045.6,0.90456,0.0463687,4706.7,0.47067,0.024127,10950.3,1.09503,0.0561324,20478.9,2.04789,0.1049769,7977.7,1365.4,16878.4,1.68784,0.0865204,11778.866,195080,60379.67,175275.6,33301,3.3301,24881.6,2.48816,0.1275456,9343.1,0.93431,0.0478937,,,,,,,54440,5.444,5.033333,5.290213,,660833,599787,61046,0.1017795,Republican
Florida,2013,Southeast,0.0431976,4312,0.4312,0.00538526,1792,0.1792,0.00223803,38979,3.8979,0.0486809,51299,57203,23758,2.3758,0.0296714,33670,3.367,0.0420505,40311,4.0311,0.0503444,124519,12.4519,0.1555119,51140,7036,63821,6.3821,0.0797061,34588.478,800704.1,43197.58,794604.1,37064,3.7064,108502,10.8502,0.1355082,58176,5.8176,0.0726561,,,9,Swing,4.29105,,59540,5.954,7.533333,5.903472,5.433008,546178,486781,59397,0.12202,Republican
South Carolina,2017,Southeast,0.0435387,1211.2,0.12112,0.0053846,448.4,0.04484,0.00199344,33153.5,3.31535,0.1473898,12992,15680.9,5611.7,0.56117,0.0249478,6579.9,0.65799,0.0292521,10462.5,1.04625,0.0465129,29946.5,2.99465,0.1331325,12342.5,1758.9,14739.1,1.47391,0.0655253,9793.497,224937.6,43538.73,210387.6,35995,3.5995,28672.9,2.86729,0.1274705,14101.4,1.41014,0.0626903,,,,,,,64310,6.431,4.2,5.352062,,674712,613125,61587,0.1004477,Republican
Alabama,2006,Southeast,0.0520567,2195,0.2195,0.01339611,3000,0.3,0.01830903,30030,3.003,0.1832734,11016,13194,4794,0.4794,0.0292578,5047,0.5047,0.0308019,8560,0.856,0.0522418,15987,1.5987,0.0975688,9399,825,11674,1.1674,0.0712465,8529.676,163853.6,52056.69,144719,26245,2.6245,24210,2.421,0.1477538,10224,1.0224,0.0623972,,,,,,,79030,7.903,4,5.214456,,434099,391181,42918,0.1097139,Republican
West Virginia,2001,Southeast,0.0778322,254,0.0254,0.00577567,7856,0.7856,0.1786364,6515,0.6515,0.1481436,2663,4286,1667,0.1667,0.0379057,1049,0.1049,0.0238531,1914,0.1914,0.0435222,5165,0.5165,0.1174462,2147,318,4867,0.4867,0.11067,3422.875,43977.6,77832.23,42750.3,20210,2.021,6949,0.6949,0.1580123,2465,0.2465,0.0560513,,,,,,,46630,4.663,5.391667,4.643231,,318542,284384,34158,0.1201122,Democrat
Virginia,2009,Southeast,0.0406132,1322,0.1322,0.00323292,2297,0.2297,0.00561725,38906,3.8906,0.0951436,16642,20709,9624,0.9624,0.0235352,18942,1.8942,0.0463222,17171,1.7171,0.0419912,56519,5.6519,0.1382157,52261,4062,24055,2.4055,0.0588259,16607.511,408918.7,40613.23,349465.4,34817,3.4817,37351,3.7351,0.0913409,56323,5.6323,0.1377364,,,,,,,80030,8.003,6.833333,5.611637,,537991,484480,53511,0.1104504,Democrat
