geoname,year,region,taxrevenueratio,agr,agrm,agrr,min,minm,minr,man,manm,manr,wholesaletrade,retailtrade,tandw,tandwm,tandwr,inf,infm,infr,fandi,fandim,fandir,re,rem,rer,professionalscientificandtechnic,educationalservices,hs,hsm,hsr,str,gdp,taxrevenue,spi,piepc,piepcm,trade,tradem,trader,pste,pstem,pster,igt,lgigt,c,p,lgpl,wapw,mehi,mehim,unemployrate,lggdp,lgml,granttotaloutlay,federalfunds,trustfunds,constraintratio,stategovernorparty
Oklahoma,2007,Southwest,0.0561832,1447,0.1447,0.00998666,15878,1.5878,0.10958409,16327,1.6327,0.1126829,8343,8911,5085,0.5085,0.0350948,4374,0.4374,0.0301877,5733,0.5733,0.039567,14517,1.4517,0.100191,5690,765,9558,0.9558,0.0659658,8140.573,144893.3,56183.23,128994.3,26843,2.6843,17254,1.7254,0.1190807,6455,0.6455,0.04455,,,,,,,59030,5.903,3.966667,5.161048,,443797,397808,45989,0.115606,Democrat
Arizona,2009,Southwest,0.045646,1163,0.1163,0.00476777,5078,0.5078,0.0208175,20004,2.0004,0.0820073,14377,18323,6752,0.6752,0.0276801,7346,0.7346,0.0301153,11776,1.1776,0.0482763,38651,3.8651,0.1584516,13759,2639,19604,1.9604,0.0803675,11134.403,243929.4,45646.01,212283.6,30090,3.009,32700,3.27,0.1340552,16398,1.6398,0.0672244,,,,,,,48330,4.833,9.666667,5.387264,,537991,484480,53511,0.1104504,Republican
Texas,2009,Southwest,0.0359117,6127,0.6127,0.00526645,118917,11.8917,0.10221495,155962,15.5962,0.1340569,84291,68299,40583,4.0583,0.0348831,46438,4.6438,0.0399157,55544,5.5544,0.0477428,105171,10.5171,0.0903996,75333,7432,69180,6.918,0.0594636,41779.699,1163401,35911.68,923470.7,29593,2.9593,152590,15.259,0.1311585,82765,8.2765,0.0711405,,,,,,,62800,6.28,7.541667,6.06573,,537991,484480,53511,0.1104504,Republican
Arizona,2007,Southwest,0.0549133,1750,0.175,0.00667119,6116,0.6116,0.02331486,24491,2.4491,0.0933624,16875,21354,7554,0.7554,0.0287967,7507,0.7507,0.0286175,13434,1.3434,0.0512119,41105,4.1105,0.1566967,14342,2186,17928,1.7928,0.0683435,14404.976,262322,54913.34,219579.1,31513,3.1513,38229,3.8229,0.1457331,16528,1.6528,0.0630065,,,,,,,55720,5.572,3.75,5.418835,,443797,397808,45989,0.115606,Democrat
Texas,2000,Southwest,0.0371163,6962,0.6962,0.00942248,77924,7.7924,0.10546361,110994,11.0994,0.1502211,63443,57206,35675,3.5675,0.0482831,31795,3.1795,0.0430319,43345,4.3345,0.0586638,91323,9.1323,0.123598,59237,5567,50639,5.0639,0.0685356,27424.142,738871,37116.28,591738.3,22526,2.2526,120649,12.0649,0.1632883,64804,6.4804,0.0877068,,,,,,,62040,6.204,4.383333,5.868568,,285874,254098,31776,0.1250541,Republican
Texas,2006,Southwest,0.0337159,7656,0.7656,0.0070543,90286,9.0286,0.08319029,168898,16.8898,0.1556241,84720,68429,42078,4.2078,0.038771,42586,4.2586,0.0392391,53264,5.3264,0.0490779,99901,9.9901,0.0920496,71025,6398,61840,6.184,0.0569799,36591.749,1085295,33715.95,827439.7,28314,2.8314,153149,15.3149,0.1411128,77423,7.7423,0.0713382,,,,,,,60670,6.067,5,6.035548,,434099,391181,42918,0.1097139,Republican
Arizona,2000,Southwest,0.0492112,1739,0.1739,0.01056426,3853,0.3853,0.02340661,17680,1.768,0.1074043,11853,15067,5715,0.5715,0.0347181,4887,0.4887,0.0296881,12084,1.2084,0.0734092,27473,2.7473,0.1668959,10659,1215,11749,1.1749,0.0713741,8100.737,164611.6,49211.21,135573.8,23528,2.3528,26920,2.692,0.1635365,11874,1.1874,0.0721334,,,,,,,47720,4.772,3.983333,5.21646,,285874,254098,31776,0.1250541,Republican
Texas,2012,Southwest,0.034003,6079,0.6079,0.00430714,138096,13.8096,0.09784475,179839,17.9839,0.1274208,103060,75536,47319,4.7319,0.0335268,44509,4.4509,0.0315358,61207,6.1207,0.0433668,121792,12.1792,0.0862929,84808,7922,73763,7.3763,0.0522631,47991.11,1411379,34003,1142888,32894,3.2894,178596,17.8596,0.1265401,92730,9.273,0.0657017,,,,,,,64480,6.448,6.708333,6.149643,,544573,488543,56030,0.114688,Republican
New Mexico,2002,Southwest,0.0624929,891,0.0891,0.01534738,7625,0.7625,0.13133984,3492,0.3492,0.0601493,2644,4573,1666,0.1666,0.0286967,1750,0.175,0.0301436,1991,0.1991,0.0342948,7845,0.7845,0.1351293,4275,349,4206,0.4206,0.0724479,3628.055,58055.5,62492.88,46821.7,21310,2.131,7217,0.7217,0.1243121,4624,0.4624,0.0796479,,,,,,,55030,5.503,5.483333,4.763844,,352895,314672,38223,0.1214693,Republican
Texas,2010,Southwest,0.0319401,8687,0.8687,0.00702152,106092,10.6092,0.08575192,173559,17.3559,0.1402841,89077,69952,43440,4.344,0.0351116,45125,4.5125,0.0364736,56375,5.6375,0.0455667,111300,11.13,0.0899614,77449,7646,70752,7.0752,0.0571873,39516.186,1237197,31940.1,982052.8,30573,3.0573,159029,15.9029,0.1285398,85095,8.5095,0.0687805,,,,,,,61680,6.168,8.191667,6.092439,,608390,559569,48821,0.0872475,Republican
Texas,2005,Southwest,0.0332369,8167,0.8167,0.00827959,82941,8.2941,0.08408444,151137,15.1137,0.1532206,79433,66379,39331,3.9331,0.0398732,40488,4.0488,0.0410462,51083,5.1083,0.0517872,94806,9.4806,0.096113,66870,6326,58889,5.8889,0.0597009,32784.942,986401.3,33236.92,754775.9,27215,2.7215,145812,14.5812,0.1478222,73196,7.3196,0.0742051,,,,,,,59710,5.971,5.458333,5.994054,,428018,388870,39148,0.1006712,Republican
Texas,2004,Southwest,0.0339304,8132,0.8132,0.00897254,84966,8.4966,0.09374824,155902,15.5902,0.1720163,73564,63287,37033,3.7033,0.0408608,39455,3.9455,0.0435331,46479,4.6479,0.0512832,89193,8.9193,0.0984121,64444,6408,58576,5.8576,0.0646305,30751.86,906321,33930.43,696381.3,25690,2.569,136851,13.6851,0.1509962,70852,7.0852,0.0781754,,,,,,,61400,6.14,6.016667,5.957282,,407512,369909,37603,0.1016547,Republican
Texas,2003,Southwest,0.0350685,8181,0.8181,0.00985942,89292,8.9292,0.10761127,121716,12.1716,0.1466874,65398,63538,33307,3.3307,0.0401403,35834,3.5834,0.0431858,48086,4.8086,0.0579514,88644,8.8644,0.1068303,62979,6099,56920,5.692,0.0685978,29098.584,829764.4,35068.49,664814.9,24570,2.457,128936,12.8936,0.1553887,69078,6.9078,0.0832501,,,,,,,59710,5.971,6.733333,5.918955,,388542,350650,37892,0.1080622,Republican
New Mexico,2001,Southwest,0.0714863,1032,0.1032,0.01843311,7629,0.7629,0.13626572,3759,0.3759,0.0671415,2613,4360,1638,0.1638,0.0292572,1562,0.1562,0.0278997,1767,0.1767,0.0315613,7381,0.7381,0.1318361,3968,358,3852,0.3852,0.0688027,4002.246,55986.2,71486.3,44958.8,20703,2.0703,6973,0.6973,0.1245485,4326,0.4326,0.077269,,,,,,,52050,5.205,4.958333,4.748081,,318542,284384,34158,0.1201122,Republican
New Mexico,2016,Southwest,0.0569081,1383.7,0.13837,0.01520484,5958.2,0.59582,0.06547192,3820.6,0.38206,0.0419828,3065.6,5523.1,2374.1,0.23741,0.0260879,2876.3,0.28763,0.0316063,3247.2,0.32472,0.035682,12260.1,1.22601,0.1347206,6786.1,591.6,7253.9,0.72539,0.0797098,5178.859,91003.9,56908.1,80782.3,32896,3.2896,8588.7,0.85887,0.0943773,7377.7,0.73777,0.0810702,,,,,,,58130,5.813,6.75,4.95906,,660833,599787,61046,0.1017795,Republican
Texas,2015,Southwest,0.0351284,8042,0.8042,0.00512835,190093,19.0093,0.12122146,200406,20.0406,0.127798,118676,88426,50272,5.0272,0.0320582,54555,5.4555,0.0347895,65889,6.5889,0.0420171,137825,13.7825,0.0878904,95334,8076,83012,8.3012,0.0529364,55086.438,1568147,35128.38,1281170,36040,3.604,207102,20.7102,0.132068,103410,10.341,0.0659441,,,,,,,68360,6.836,4.483333,6.195386,,624357,567054,57303,0.1010539,Republican
Arizona,2005,Southwest,0.0482337,2039,0.2039,0.00893392,4982,0.4982,0.02182874,19522,1.9522,0.0855361,15053,20342,7106,0.7106,0.0311351,6630,0.663,0.0290495,16229,1.6229,0.0711077,36330,3.633,0.1591807,12548,2054,15560,1.556,0.0681765,11008.428,228231.2,48233.67,187724.9,29116,2.9116,35395,3.5395,0.155084,14602,1.4602,0.063979,,,,,,,52840,5.284,4.666667,5.358375,,428018,388870,39148,0.1006712,Democrat
Oklahoma,2013,Southwest,0.0486945,2003,0.2003,0.01096823,24002,2.4002,0.13143254,15307,1.5307,0.0838196,9398,10091,6966,0.6966,0.0381451,3963,0.3963,0.021701,5464,0.5464,0.0299203,16507,1.6507,0.0903907,6537,808,11013,1.1013,0.0603061,8892.503,182618.4,48694.45,167796.9,30561,3.0561,19489,1.9489,0.1067198,7345,0.7345,0.0402205,,,,,,,56630,5.663,5.116667,5.261545,,546178,486781,59397,0.12202,Republican
